grouping,group,n_attempted,n_successful,n_failed,failure_rate,n_participants,mean_signed_brain_age_delta_years,mean_abs_brain_age_delta_years,p95_abs_brain_age_delta_years,max_abs_brain_age_delta_years,fraction_attempted_age_delta_within_2_year_margin,mean_abs_ventricle_volume_delta_fraction,max_abs_ventricle_volume_delta_fraction,fraction_attempted_ventricle_delta_within_5pct_margin,mean_abs_brain_volume_delta_fraction,max_abs_brain_volume_delta_fraction,fraction_attempted_brain_volume_delta_within_5pct_margin,sex_class_flips,median_latent_cosine_to_baseline,equivalence_claim,claim_level
perturbation,resolution_0p8mm,3,3,0,0,3,0.262441,0.262441,0.43897553,0.4513855,1,0.015409149,0.020393895,1,0.0031643934,0.0070199295,1,0,0.99950305,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,resolution_1mm,3,0,3,1,3,,,,,0,,,0,,,0,0,,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,resolution_1p2mm,3,3,0,0,3,-0.4063708,0.4063708,0.65812874,0.68914795,1,0.019603597,0.03561175,1,0.0026714817,0.0055519203,1,0,0.99883668,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis0_1deg,3,3,0,0,3,-1.2331988,1.3007571,2.3062866,2.4077415,0.66666667,0.068341792,0.095138506,0.33333333,0.0037110219,0.0048699179,1,0,0.99473008,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis0_3deg,3,3,0,0,3,-1.1476402,1.1476402,1.927414,2.0040474,0.66666667,0.075779139,0.11275248,0.33333333,0.015663609,0.030636138,1,0,0.99461725,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis0_5deg,3,3,0,0,3,-0.04993566,0.60408147,0.82786217,0.83121872,1,0.14882962,0.28012376,0,0.0097983369,0.019424682,1,0,0.99222925,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis0_minus1deg,3,3,0,0,3,0.40408197,0.87913639,1.3449238,1.415184,1,0.046089796,0.089270783,0.66666667,0.0066590693,0.010111579,1,0,0.99702004,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis0_minus3deg,3,3,0,0,3,1.2228381,1.3246142,3.1994702,3.5216904,0.66666667,0.11014497,0.16677898,0.33333333,0.0075395207,0.018029736,1,0,0.99109435,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis0_minus5deg,3,3,0,0,3,1.5165024,1.5165024,2.5711594,2.7317543,0.66666667,0.085123338,0.10141171,0,0.01664603,0.020466086,1,0,0.98748962,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis1_1deg,3,3,0,0,3,-0.17570623,0.77517827,0.89053726,0.89920807,1,0.014001932,0.024561297,1,0.0054147422,0.009259563,1,0,0.9982873,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis1_3deg,3,3,0,0,3,0.3565483,1.3633893,1.4934318,1.5102615,1,0.060924998,0.086497585,0.33333333,0.009265018,0.01367444,1,0,0.99451106,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis1_5deg,3,3,0,0,3,1.4630508,1.9946925,2.7862061,2.8344307,0.33333333,0.071788382,0.11415692,0.33333333,0.019671938,0.029243733,1,0,0.98880139,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis1_minus1deg,3,3,0,0,3,-0.92249678,0.92249678,1.4737415,1.5698547,1,0.032171588,0.048401953,1,0.0036053348,0.0073697712,1,0,0.99757926,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis1_minus3deg,3,3,0,0,3,0.42083486,0.42083486,0.86519127,0.92829895,1,0.074835233,0.12307283,0.33333333,0.014404528,0.015422159,1,0,0.99462016,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis1_minus5deg,3,3,0,0,3,2.0210546,2.0210546,2.8502472,2.8917046,0.33333333,0.088322059,0.13354538,0.33333333,0.015575411,0.021885006,1,0,0.986915,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis2_1deg,3,3,0,0,3,0.49847793,0.49847793,1.1864998,1.3001251,1,0.017797453,0.028948814,1,0.0029872728,0.0045292944,1,0,0.99871181,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis2_3deg,3,3,0,0,3,0.6010577,0.60700354,1.6208424,1.7995415,1,0.057315196,0.062774001,0,0.0033210977,0.0064683077,1,0,0.99574213,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis2_5deg,3,3,0,0,3,-0.13269933,1.3632037,1.9992046,2.0162544,0.66666667,0.10087902,0.14151395,0.33333333,0.012564391,0.020192165,1,0,0.99371694,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis2_minus1deg,3,3,0,0,3,0.28089397,0.55868023,1.1722794,1.2593613,1,0.025931015,0.035262966,1,0.0066217231,0.0080518124,1,0,0.99821262,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis2_minus3deg,3,3,0,0,3,0.9573644,1.6506322,2.3497108,2.4481392,0.66666667,0.06266963,0.10663629,0.66666667,0.006739086,0.0096800599,1,0,0.98915139,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,rotation_axis2_minus5deg,3,3,0,0,3,1.6972148,1.9538142,3.0726207,3.156208,0.33333333,0.071778844,0.10935929,0.33333333,0.0055491777,0.0090837975,1,0,0.99152853,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,scale_0p95,3,3,0,0,3,0.10282516,1.0750389,1.5641189,1.5758743,1,0.15115556,0.24821357,0.33333333,0.031791749,0.050965058,0.66666667,0,0.92628454,not_permitted_n_participants_3,numerical_robustness_probe_only
perturbation,scale_1p05,3,3,0,0,3,3.4169871,3.4169871,4.94898,5.1217499,0.33333333,0.10615857,0.22264887,0.33333333,0.038500143,0.049864717,1,0,0.9357158,not_permitted_n_participants_3,numerical_robustness_probe_only
family,resolution,9,6,3,0.33333333,3,-0.071964899,0.3344059,0.62970734,0.68914795,0.66666667,0.017506373,0.03561175,0.66666667,0.0029179375,0.0070199295,0.66666667,0,0.99939716,not_permitted_n_participants_3,numerical_robustness_probe_only
family,rotation,54,54,0,0,3,0.4321246,1.1612328,2.8544766,3.5216904,0.77777778,0.067373556,0.28012376,0.46296296,0.0092076282,0.030636138,1,0,0.99360974,not_permitted_n_participants_3,numerical_robustness_probe_only
family,scale,6,6,0,0,3,1.7599061,2.246013,4.6898251,5.1217499,0.66666667,0.12865707,0.24821357,0.33333333,0.035145946,0.050965058,0.83333333,0,0.9313099,not_permitted_n_participants_3,numerical_robustness_probe_only
