participant_id,run_index,relative_path,mask_sha256,mask_nonzero_voxels,mask_fraction,components_26_connected,largest_component_voxels,largest_component_fraction,second_component_voxels,bbox_width_axis0,bbox_width_axis1,bbox_width_axis2,touches_volume_border,claim_level
sub-01,1,sub-01/anat/sub-01_run-01_T1w.nii.gz,c756b825894533c93c8b179923beeda5b7cc7461fb453c85a9049307a0b5b1c2,1037029,0.080733708,1,1037029,1,0,166,135,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,2,sub-01/anat/sub-01_run-02_T1w.nii.gz,2f90da3e81c745e704e0870de7894044012e223e7e933cc04ffcc84106618a44,1030351,0.080213819,1,1030351,1,0,164,134,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,3,sub-01/anat/sub-01_run-03_T1w.nii.gz,9101345e448bc07e75aa5f73fcb35cfe8be352136b750fead9101dc2b4ddcb89,1042363,0.081148965,1,1042363,1,0,165,132,109,0,skullstrip_input_qc_not_segmentation_validation
sub-01,4,sub-01/anat/sub-01_run-04_T1w.nii.gz,682e8e60f32d669157c3404f42408cf96aedca80fa5585003c8071e1b15927ae,1038892,0.080878744,1,1038892,1,0,165,133,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,5,sub-01/anat/sub-01_run-05_T1w.nii.gz,53777c71fc1c17427bb465982edba99708356f3d698ecba48d36e6be5e005b3c,1042306,0.081144528,2,1042285,0.99997985,21,166,133,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,6,sub-01/anat/sub-01_run-06_T1w.nii.gz,334aa59f5a221bcbf8ef4a62e269332117501ed3322725fece4731036454d7d4,1033674,0.080472518,1,1033674,1,0,165,134,108,0,skullstrip_input_qc_not_segmentation_validation
sub-01,7,sub-01/anat/sub-01_run-07_T1w.nii.gz,297447c8ade3721d58d0868308a66fe745455960dc60dc87f9970cf1739e63b0,1032121,0.080351615,1,1032121,1,0,165,132,107,0,skullstrip_input_qc_not_segmentation_validation
sub-01,8,sub-01/anat/sub-01_run-08_T1w.nii.gz,84e71bd0aab2a044c6722c57ae4bddab47911f582ffa6df0493f6a90292dd075,1036345,0.080680458,1,1036345,1,0,165,134,107,0,skullstrip_input_qc_not_segmentation_validation
sub-01,9,sub-01/anat/sub-01_run-09_T1w.nii.gz,10e160357da3504e0c2dcfec6e3e2fdbe36673e8d7f0da0d32d1342dccb8001d,1038435,0.080843166,1,1038435,1,0,165,134,107,0,skullstrip_input_qc_not_segmentation_validation
sub-01,10,sub-01/anat/sub-01_run-10_T1w.nii.gz,d007d90b105e2c9f6da69148feb278c033516decab590f0b45d94006af315b23,1044985,0.08135309,1,1044985,1,0,167,133,108,0,skullstrip_input_qc_not_segmentation_validation
