scan_a,scan_b,session_a,session_b,modality_a,modality_b,modality_family_a,modality_family_b,analysis_role_a,analysis_role_b,comparison_tag,same_session,same_modality_family,feature_count,cosine_distance,euclidean_distance,cosine_distance_percentile,cosine_distance_l0,cosine_distance_l1,cosine_distance_l2,cosine_distance_l3,cosine_distance_l4,cosine_distance_l5
kate_2018_t1,kate_2022_t1,2018,2022,T1w_FSPGR_BRAVO,T1w_SE_sagittal,t1w,t1w,primary_longitudinal_t1,primary_longitudinal_t1,cross_session_same_family,false,true,8064,0.185205257,1936.681312171,0.962962963,0.406281394,0.109884246,0.059779707,0.079281636,0.150596892,0.013242365
kate_2018_t1,kate_2024_3di,2018,2024,T1w_FSPGR_BRAVO,3D_inversion_recovery_like,t1w,ir_like_3d,primary_longitudinal_t1,primary_2024_probe,cross_session_cross_family,false,false,8064,0.085569299,1355.918514035,0.574074074,0.236461099,0.040012003,0.028267725,0.058828641,0.060755774,0.010751524
kate_2018_t1,kate_2022_flair,2018,2022,T1w_FSPGR_BRAVO,T2_FLAIR,t1w,flair,primary_longitudinal_t1,secondary_modality,cross_session_cross_family,false,false,8064,0.093619546,1417.615710849,0.629629630,0.216130630,0.050216642,0.039517453,0.031885602,0.140773975,0.001733191
kate_2018_t1,kate_2022_t2_cor,2018,2022,T1w_FSPGR_BRAVO,T2_TSE_coronal,t1w,t2_tse,primary_longitudinal_t1,secondary_modality,cross_session_cross_family,false,false,8064,0.157441664,1799.950350730,0.833333333,0.340388072,0.109773352,0.048901973,0.068256227,0.197065024,0.002586159
kate_2018_t1,kate_2022_t2_tra,2018,2022,T1w_FSPGR_BRAVO,T2_TSE_axial,t1w,t2_tse,primary_longitudinal_t1,secondary_modality,cross_session_cross_family,false,false,8064,0.105084159,1493.836100815,0.685185185,0.247731851,0.055004643,0.044558850,0.062304724,0.151732389,0.001734374
kate_2018_t1,kate_2024_flair,2018,2024,T1w_FSPGR_BRAVO,T2_FLAIR,t1w,flair,primary_longitudinal_t1,secondary_modality,cross_session_cross_family,false,false,8064,0.071732662,1233.713394363,0.462962963,0.163905314,0.031544210,0.035534029,0.036542535,0.150863709,0.001466890
kate_2018_t1,kate_2024_t1_ffe_401,2018,2024,T1w_FSPGR_BRAVO,T1w_FFE,t1w,t1w,primary_longitudinal_t1,alternative_2024_t1,cross_session_same_family,false,true,8064,0.052813632,1059.614474099,0.259259259,0.151352831,0.017492156,0.007528517,0.011268534,0.015701817,0.001183125
kate_2018_t1,kate_2024_t1_ffe_601,2018,2024,T1w_FSPGR_BRAVO,T1w_FFE,t1w,t1w,primary_longitudinal_t1,alternative_2024_t1,cross_session_same_family,false,true,8064,0.074258036,1277.189384451,0.500000000,0.243373136,0.024995433,0.014072643,0.017327561,0.021583803,0.005373893
kate_2018_t1,kate_2024_t2_501,2018,2024,T1w_FSPGR_BRAVO,T2_TSE,t1w,t2_tse,primary_longitudinal_t1,secondary_modality,cross_session_cross_family,false,false,8064,0.081254660,1304.940895881,0.518518519,0.173773374,0.036179049,0.038851780,0.063713836,0.157048363,0.001134789
kate_2018_t1,kate_2024_t2_801,2018,2024,T1w_FSPGR_BRAVO,T2_TSE,t1w,t2_tse,primary_longitudinal_t1,secondary_modality,cross_session_cross_family,false,false,8064,0.091217947,1383.387919274,0.611111111,0.226753469,0.046358621,0.042008208,0.058833949,0.156418907,0.001514773
kate_2022_t1,kate_2024_3di,2022,2024,T1w_SE_sagittal,3D_inversion_recovery_like,t1w,ir_like_3d,primary_longitudinal_t1,primary_2024_probe,cross_session_cross_family,false,false,8064,0.175863450,1858.520505494,0.907407407,0.390065979,0.105231966,0.083027103,0.115374728,0.133255687,0.010537964
kate_2022_t1,kate_2022_flair,2022,2022,T1w_SE_sagittal,T2_FLAIR,t1w,flair,primary_longitudinal_t1,secondary_modality,same_session_cross_family,true,false,8064,0.188394872,1908.334249654,1.000000000,0.443456108,0.112410147,0.079518618,0.074842144,0.036276326,0.012487404
kate_2022_t1,kate_2022_t2_cor,2022,2022,T1w_SE_sagittal,T2_TSE_coronal,t1w,t2_tse,primary_longitudinal_t1,secondary_modality,same_session_cross_family,true,false,8064,0.145400286,1329.319406705,0.796296296,0.263449398,0.114255732,0.049746486,0.042362319,0.031561698,0.007343436
kate_2022_t1,kate_2022_t2_tra,2022,2022,T1w_SE_sagittal,T2_TSE_axial,t1w,t2_tse,primary_longitudinal_t1,secondary_modality,same_session_cross_family,true,false,8064,0.187545834,1874.739742508,0.981481481,0.439963064,0.109928640,0.085303870,0.085741491,0.038487641,0.011816778
kate_2022_t1,kate_2024_flair,2022,2024,T1w_SE_sagittal,T2_FLAIR,t1w,flair,primary_longitudinal_t1,secondary_modality,cross_session_cross_family,false,false,8064,0.169982445,1788.268218099,0.870370370,0.385380644,0.102543242,0.066820871,0.085188897,0.045623061,0.011534824
kate_2022_t1,kate_2024_t1_ffe_401,2022,2024,T1w_SE_sagittal,T1w_FFE,t1w,t1w,primary_longitudinal_t1,alternative_2024_t1,cross_session_same_family,false,true,8064,0.174335788,1789.114315917,0.888888889,0.378057179,0.110782644,0.066433257,0.085464869,0.106929900,0.011503789
kate_2022_t1,kate_2024_t1_ffe_601,2022,2024,T1w_SE_sagittal,T1w_FFE,t1w,t1w,primary_longitudinal_t1,alternative_2024_t1,cross_session_same_family,false,true,8064,0.159788218,1843.915011366,0.851851852,0.365000187,0.093489497,0.059592684,0.070812780,0.113229383,0.011305812
kate_2022_t1,kate_2024_t2_501,2022,2024,T1w_SE_sagittal,T2_TSE,t1w,t2_tse,primary_longitudinal_t1,secondary_modality,cross_session_cross_family,false,false,8064,0.183029927,1775.542263142,0.944444444,0.414357235,0.109343418,0.084897365,0.094784010,0.040633376,0.011135560
kate_2022_t1,kate_2024_t2_801,2022,2024,T1w_SE_sagittal,T2_TSE,t1w,t2_tse,primary_longitudinal_t1,secondary_modality,cross_session_cross_family,false,false,8064,0.180097984,1792.196465065,0.925925926,0.389711457,0.117489596,0.079121132,0.085612122,0.034193090,0.009862707
kate_2024_3di,kate_2022_flair,2024,2022,3D_inversion_recovery_like,T2_FLAIR,ir_like_3d,flair,primary_2024_probe,secondary_modality,cross_session_cross_family,false,false,8064,0.083687381,1327.432361273,0.537037037,0.265821301,0.055024579,0.045123927,0.052674972,0.127746641,0.010497105
kate_2024_3di,kate_2022_t2_cor,2024,2022,3D_inversion_recovery_like,T2_TSE_coronal,ir_like_3d,t2_tse,primary_2024_probe,secondary_modality,cross_session_cross_family,false,false,8064,0.153701108,1745.283523072,0.814814815,0.336237856,0.124574979,0.081532923,0.104398780,0.191412803,0.007833629
kate_2024_3di,kate_2022_t2_tra,2024,2022,3D_inversion_recovery_like,T2_TSE_axial,ir_like_3d,t2_tse,primary_2024_probe,secondary_modality,cross_session_cross_family,false,false,8064,0.090491255,1371.583995558,0.592592593,0.291660522,0.055836157,0.058753549,0.072563928,0.140751461,0.010381445
kate_2024_3di,kate_2024_flair,2024,2024,3D_inversion_recovery_like,T2_FLAIR,ir_like_3d,flair,primary_2024_probe,secondary_modality,same_session_cross_family,true,false,8064,0.066136825,1170.218900726,0.444444444,0.222092853,0.038966428,0.040472202,0.041500998,0.128503783,0.008286729
kate_2024_3di,kate_2024_t1_ffe_401,2024,2024,3D_inversion_recovery_like,T1w_FFE,ir_like_3d,t1w,primary_2024_probe,alternative_2024_t1,same_session_cross_family,true,false,8064,0.051096982,1026.874892531,0.240740741,0.189788809,0.031071954,0.016627711,0.042314038,0.032075009,0.007160806
kate_2024_3di,kate_2024_t1_ffe_601,2024,2024,3D_inversion_recovery_like,T1w_FFE,ir_like_3d,t1w,primary_2024_probe,alternative_2024_t1,same_session_cross_family,true,false,8064,0.063729214,1175.304119470,0.425925926,0.238191596,0.030434790,0.027495128,0.066880728,0.060456336,0.013873880
kate_2024_3di,kate_2024_t2_501,2024,2024,3D_inversion_recovery_like,T2_TSE,ir_like_3d,t2_tse,primary_2024_probe,secondary_modality,same_session_cross_family,true,false,8064,0.072050265,1211.404512799,0.481481481,0.250259490,0.040759180,0.047203431,0.062932980,0.132628043,0.007479234
kate_2024_3di,kate_2024_t2_801,2024,2024,3D_inversion_recovery_like,T2_TSE,ir_like_3d,t2_tse,primary_2024_probe,secondary_modality,same_session_cross_family,true,false,8064,0.083719812,1308.228086023,0.555555556,0.245920327,0.050086190,0.052944777,0.058290272,0.134360903,0.008111281
kate_2022_flair,kate_2022_t2_cor,2022,2022,T2_FLAIR,T2_TSE_coronal,flair,t2_tse,secondary_modality,secondary_modality,same_session_cross_family,true,false,8064,0.106846619,1508.622161307,0.722222222,0.318235421,0.077030965,0.046464756,0.045344335,0.015862128,0.001694388
kate_2022_flair,kate_2022_t2_tra,2022,2022,T2_FLAIR,T2_TSE_axial,flair,t2_tse,secondary_modality,secondary_modality,same_session_cross_family,true,false,8064,0.012553747,512.282900837,0.000000000,0.051219307,0.004125251,0.026909779,0.017201118,0.002992002,0.000225135
kate_2022_flair,kate_2024_flair,2022,2024,T2_FLAIR,T2_FLAIR,flair,flair,secondary_modality,secondary_modality,cross_session_same_family,false,true,8064,0.035002846,851.950503070,0.166666667,0.145491793,0.019564469,0.022890221,0.010342469,0.013160690,0.001278925
kate_2022_flair,kate_2024_t1_ffe_401,2022,2024,T2_FLAIR,T1w_FFE,flair,t1w,secondary_modality,alternative_2024_t1,cross_session_cross_family,false,false,8064,0.054167862,1056.262711419,0.277777778,0.158667959,0.037843606,0.036926443,0.034665706,0.088447015,0.001362281
kate_2022_flair,kate_2024_t1_ffe_601,2022,2024,T2_FLAIR,T1w_FFE,flair,t1w,secondary_modality,alternative_2024_t1,cross_session_cross_family,false,false,8064,0.057981655,1120.986230816,0.296296296,0.181466977,0.033541206,0.037332127,0.033580123,0.099393641,0.003931744
kate_2022_flair,kate_2024_t2_501,2022,2024,T2_FLAIR,T2_TSE,flair,t2_tse,secondary_modality,secondary_modality,cross_session_cross_family,false,false,8064,0.029025879,779.380611611,0.074074074,0.122756986,0.014281660,0.033039375,0.025117094,0.005514747,0.000899963
kate_2022_flair,kate_2024_t2_801,2022,2024,T2_FLAIR,T2_TSE,flair,t2_tse,secondary_modality,secondary_modality,cross_session_cross_family,false,false,8064,0.031015239,801.783178143,0.092592593,0.118219855,0.011916053,0.028073264,0.017882322,0.005327950,0.001004515
kate_2022_t2_cor,kate_2022_t2_tra,2022,2022,T2_TSE_coronal,T2_TSE_axial,t2_tse,t2_tse,secondary_modality,secondary_modality,same_session_same_family,true,true,8064,0.105310687,1470.868753423,0.703703704,0.316983896,0.077556434,0.036983933,0.030609207,0.011872934,0.001438252
kate_2022_t2_cor,kate_2024_flair,2022,2024,T2_TSE_coronal,T2_FLAIR,t2_tse,flair,secondary_modality,secondary_modality,cross_session_cross_family,false,false,8064,0.103431521,1447.968495809,0.648148148,0.286906899,0.078706612,0.043956261,0.045422128,0.021495120,0.001440981
kate_2022_t2_cor,kate_2024_t1_ffe_401,2022,2024,T2_TSE_coronal,T1w_FFE,t2_tse,t1w,secondary_modality,alternative_2024_t1,cross_session_cross_family,false,false,8064,0.111829107,1476.615124410,0.740740741,0.285047036,0.084559114,0.051406923,0.064069569,0.140850408,0.001626190
