scan_id,session,modality_hint,modality_family,analysis_role,prepared_shape,original_shape_after_orientation,feature_count,feature_mean,feature_sd,feature_l2_norm
kate_2018_t1,2018,T1w_FSPGR_BRAVO,t1w,primary_longitudinal_t1,160x160x150,234x240x150,8064,17.706115079,32.245725095,3303.476525691
kate_2022_t1,2022,T1w_SE_sagittal,t1w,primary_longitudinal_t1,160x160x150,230x230x150,8064,14.260919540,22.655094690,2403.930379456
kate_2024_3di,2024,3D_inversion_recovery_like,ir_like_3d,primary_2024_probe,160x160x100,192x192x100,8064,16.558350893,32.133651789,3246.172596855
kate_2022_flair,2022,T2_FLAIR,flair,secondary_modality,160x160x160,220x220x162,8064,16.577809589,32.085161204,3243.104180886
kate_2022_t2_cor,2022,T2_TSE_coronal,t2_tse,secondary_modality,160x160x160,165x220x198,8064,12.828337011,24.849683085,2511.301756030
kate_2022_t2_tra,2022,T2_TSE_axial,t2_tse,secondary_modality,160x160x160,220x220x162,8064,16.199159807,31.717439320,3198.194497350
kate_2024_flair,2024,T2_FLAIR,flair,secondary_modality,160x160x138,188x230x138,8064,16.024287502,31.562010909,3178.630936937
kate_2024_t1_ffe_401,2024,T1w_FFE,t1w,alternative_2024_t1,160x160x138,200x200x138,8064,16.000175635,31.238048342,3151.730768784
kate_2024_t1_ffe_601,2024,T1w_FFE,t1w,alternative_2024_t1,138x160x160,138x210x210,8064,17.893835013,32.402610099,3323.948760694
kate_2024_t2_501,2024,T2_TSE,t2_tse,secondary_modality,160x160x138,190x230x138,8064,15.245915254,30.640721803,3073.320157283
kate_2024_t2_801,2024,T2_TSE,t2_tse,secondary_modality,160x160x160,204x168x244,8064,16.955678124,30.312631834,3118.976081593
