method,scan_id,label,n_augments,mean_voxels,std_voxels,cv_pct,min_voxels,max_voxels,mean_volume_ml,std_volume_ml,consensus_voxels,present_any_augment_voxels,mean_consensus_vote_fraction,mean_consensus_entropy_bits
FastSurfer_Long_v2,kate_2018_t1,2,2,204311.0,52.325902,0.025611,204274,204348,204.311,0.052326,202470,206152,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,4,2,5182.0,9.899495,0.191036,5175,5189,5.182,0.009899,5136,5228,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,5,2,241.0,1.414214,0.586811,240,242,0.241,0.001414,229,253,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,7,2,12480.5,6.363961,0.050991,12476,12485,12.4805,0.006364,12385,12576,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,8,2,46588.0,12.727922,0.02732,46579,46597,46.588,0.012728,46346,46830,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,10,2,7057.5,13.435029,0.190365,7048,7067,7.0575,0.013435,7025,7090,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,11,2,3393.5,3.535534,0.104185,3391,3396,3.3935,0.003536,3361,3426,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,12,2,4855.5,3.535534,0.072815,4853,4858,4.8555,0.003536,4825,4886,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,13,2,1776.0,4.242641,0.238887,1773,1779,1.776,0.004243,1764,1788,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,14,2,841.0,4.242641,0.504476,838,844,0.841,0.004243,827,855,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,15,2,1430.5,0.707107,0.049431,1430,1431,1.4305,0.000707,1417,1444,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,16,2,15479.0,4.242641,0.027409,15476,15482,15.479,0.004243,15407,15551,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,17,2,3809.0,7.071068,0.185641,3804,3814,3.809,0.007071,3776,3842,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,18,2,1439.5,2.12132,0.147365,1438,1441,1.4395,0.002121,1432,1447,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,24,2,950.5,3.535534,0.371966,948,953,0.9505,0.003536,933,968,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,26,2,505.0,0.0,0.0,505,505,0.505,0.0,500,510,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,28,2,4092.0,2.828427,0.069121,4090,4094,4.092,0.002828,4060,4124,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,31,2,476.0,2.828427,0.594207,474,478,0.476,0.002828,458,494,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,41,2,206299.0,50.911688,0.024679,206263,206335,206.299,0.050912,204465,208133,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,43,2,4315.5,10.606602,0.245779,4308,4323,4.3155,0.010607,4270,4361,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,44,2,412.5,0.707107,0.17142,412,413,0.4125,0.000707,405,420,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,46,2,12406.0,19.79899,0.159592,12392,12420,12.406,0.019799,12307,12505,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,47,2,47676.0,12.727922,0.026697,47667,47685,47.676,0.012728,47446,47906,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,49,2,6633.5,20.506097,0.309129,6619,6648,6.6335,0.020506,6594,6673,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,50,2,3481.0,5.656854,0.162507,3477,3485,3.481,0.005657,3457,3505,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,51,2,4841.0,1.414214,0.029213,4840,4842,4.841,0.001414,4810,4872,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,52,2,1718.0,2.828427,0.164635,1716,1720,1.718,0.002828,1706,1730,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,53,2,3915.5,7.778175,0.198651,3910,3921,3.9155,0.007778,3880,3951,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,54,2,1530.5,7.778175,0.508211,1525,1536,1.5305,0.007778,1514,1547,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,58,2,507.0,1.414214,0.278938,506,508,0.507,0.001414,502,512,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,60,2,4147.0,8.485281,0.204613,4141,4153,4.147,0.008485,4117,4177,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,63,2,441.0,8.485281,1.9241,435,447,0.441,0.008485,422,460,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,77,2,583.5,3.535534,0.605918,581,586,0.5835,0.003536,553,614,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1002,2,2956.5,3.535534,0.119585,2954,2959,2.9565,0.003536,2902,3011,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1003,2,7459.0,15.556349,0.208558,7448,7470,7.459,0.015556,7328,7590,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1005,2,4169.5,10.606602,0.254385,4162,4177,4.1695,0.010607,4061,4278,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1006,2,1520.5,4.949747,0.325534,1517,1524,1.5205,0.00495,1494,1547,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1007,2,7618.0,18.384776,0.241333,7605,7631,7.618,0.018385,7496,7740,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1008,2,10024.0,9.899495,0.098758,10017,10031,10.024,0.009899,9844,10204,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1009,2,12881.0,19.79899,0.153707,12867,12895,12.881,0.019799,12704,13058,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1010,2,2377.0,2.828427,0.118991,2375,2379,2.377,0.002828,2336,2418,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1011,2,10036.0,2.828427,0.028183,10034,10038,10.036,0.002828,9784,10288,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1012,2,9422.0,2.828427,0.030019,9420,9424,9.422,0.002828,9288,9556,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1013,2,6301.0,9.899495,0.15711,6294,6308,6.301,0.009899,6170,6432,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1014,2,5161.5,17.67767,0.342491,5149,5174,5.1615,0.017678,5070,5253,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1015,2,13892.0,31.112698,0.223961,13870,13914,13.892,0.031113,13712,14072,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1016,2,2217.5,9.192388,0.414538,2211,2224,2.2175,0.009192,2176,2259,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1017,2,3742.5,7.778175,0.207834,3737,3748,3.7425,0.007778,3667,3818,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1018,2,4370.0,7.071068,0.161809,4365,4375,4.37,0.007071,4301,4439,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1019,2,2036.0,15.556349,0.764064,2025,2047,2.036,0.015556,2002,2070,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1020,2,4753.5,17.67767,0.371887,4741,4766,4.7535,0.017678,4677,4830,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1021,2,1910.5,20.506097,1.073337,1896,1925,1.9105,0.020506,1850,1971,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1022,2,9775.0,9.899495,0.101274,9768,9782,9.775,0.009899,9545,10005,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1023,2,2612.5,9.192388,0.351862,2606,2619,2.6125,0.009192,2553,2672,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1024,2,13207.0,2.828427,0.021416,13205,13209,13.207,0.002828,12966,13448,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1025,2,8849.5,17.67767,0.199759,8837,8862,8.8495,0.017678,8640,9059,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1026,2,3442.0,43.84062,1.273696,3411,3473,3.442,0.043841,3362,3522,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1027,2,12995.0,5.656854,0.043531,12991,12999,12.995,0.005657,12757,13233,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1028,2,24810.5,37.476659,0.151052,24784,24837,24.8105,0.037477,24430,25191,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1029,2,12052.0,25.455844,0.211217,12034,12070,12.052,0.025456,11806,12298,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1030,2,17044.0,26.870058,0.157651,17025,17063,17.044,0.02687,16814,17274,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1031,2,9992.5,33.234019,0.33259,9969,10016,9.9925,0.033234,9778,10207,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1034,2,1380.5,4.949747,0.358547,1377,1384,1.3805,0.00495,1359,1402,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,1035,2,5604.5,4.949747,0.088317,5601,5608,5.6045,0.00495,5544,5665,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2002,2,1663.0,5.656854,0.34016,1659,1667,1.663,0.005657,1639,1687,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2003,2,7155.5,4.949747,0.069174,7152,7159,7.1555,0.00495,7038,7273,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2005,2,3850.0,4.242641,0.110198,3847,3853,3.85,0.004243,3709,3991,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2006,2,1623.0,4.242641,0.261407,1620,1626,1.623,0.004243,1591,1655,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2007,2,7759.5,2.12132,0.027338,7758,7761,7.7595,0.002121,7669,7850,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2008,2,13542.0,55.154329,0.407283,13503,13581,13.542,0.055154,13282,13802,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2009,2,14180.0,19.79899,0.139626,14166,14194,14.18,0.019799,14003,14357,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2010,2,2512.0,1.414214,0.056298,2511,2513,2.512,0.001414,2469,2555,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2011,2,10724.5,65.760931,0.613184,10678,10771,10.7245,0.065761,10445,11004,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2012,2,9489.5,10.606602,0.111772,9482,9497,9.4895,0.010607,9334,9645,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2013,2,6207.0,25.455844,0.410115,6189,6225,6.207,0.025456,6062,6352,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2014,2,4469.0,33.941125,0.759479,4445,4493,4.469,0.033941,4378,4560,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2015,2,13632.0,9.899495,0.07262,13625,13639,13.632,0.009899,13426,13838,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2016,2,2004.5,0.707107,0.035276,2004,2005,2.0045,0.000707,1974,2035,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2017,2,3626.5,23.334524,0.643445,3610,3643,3.6265,0.023335,3556,3697,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2018,2,4818.0,2.828427,0.058705,4816,4820,4.818,0.002828,4729,4907,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2019,2,2693.5,4.949747,0.183766,2690,2697,2.6935,0.00495,2648,2739,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2020,2,4703.5,17.67767,0.375841,4691,4716,4.7035,0.017678,4611,4796,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2021,2,2014.5,20.506097,1.017925,2000,2029,2.0145,0.020506,1951,2078,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2022,2,9411.5,6.363961,0.067619,9407,9416,9.4115,0.006364,9205,9618,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2023,2,2933.0,12.727922,0.433956,2924,2942,2.933,0.012728,2869,2997,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2024,2,13404.5,17.67767,0.131879,13392,13417,13.4045,0.017678,13192,13617,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2025,2,9457.0,29.698485,0.314037,9436,9478,9.457,0.029698,9269,9645,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2026,2,2033.0,15.556349,0.765192,2022,2044,2.033,0.015556,1979,2087,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2027,2,11826.0,2.828427,0.023917,11824,11828,11.826,0.002828,11629,12023,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2028,2,27285.0,21.213203,0.077747,27270,27300,27.285,0.021213,26845,27725,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2029,2,10641.0,16.970563,0.159483,10629,10653,10.641,0.016971,10421,10861,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2030,2,15774.5,12.020815,0.076204,15766,15783,15.7745,0.012021,15582,15967,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2031,2,9191.0,32.526912,0.3539,9168,9214,9.191,0.032527,9005,9377,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2034,2,1129.5,6.363961,0.563432,1125,1134,1.1295,0.006364,1108,1151,1.0,0.0
FastSurfer_Long_v2,kate_2018_t1,2035,2,5614.0,1.414214,0.025191,5613,5615,5.614,0.001414,5527,5701,1.0,0.0
