reference_variant,source_id,method,scan_id,structure,label,dice,jaccard,source_voxels,reference_voxels,intersection_voxels,signed_volume_error_pct,abs_volume_error_pct,n_reference_sources
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_cerebral_white_matter,2,0.6505078239543625,0.4820389739942912,126245,173859,97610,-27.386560373636108,27.386560373636108,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_cerebral_cortex,3,0.6368539216164771,0.467194185359566,160231,249549,130485,-35.79176835010359,35.79176835010359,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_lateral_ventricle,4,0.8311916529379462,0.7111445217064462,4294,4811,3784,-10.746206609852422,10.746206609852422,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_inferior_lateral_ventricle,5,0.4976958525345622,0.3312883435582822,286,148,108,93.24324324324324,93.24324324324324,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_cerebellum_white_matter,7,0.8106536189069424,0.6815959015757199,11780,9884,8781,19.18251719951437,19.18251719951437,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_cerebellum_cortex,8,0.9099540186507503,0.8347849854227405,50834,49859,45813,1.9555145510339156,1.9555145510339156,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_thalamus,10,0.9007442340284431,0.8194127899182196,7144,6427,6112,11.156060370312742,11.156060370312742,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_caudate,11,0.7645041832396104,0.6187833037300178,4280,3011,2787,42.14546662238459,42.14546662238459,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_putamen,12,0.8196955766676882,0.6944781028215337,5264,4525,4012,16.331491712707184,16.331491712707184,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_pallidum,13,0.8417884780739467,0.726800296956199,1250,1076,979,16.171003717472118,16.171003717472118,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,third_ventricle,14,0.7990762124711316,0.6653846153846154,628,671,519,-6.4083457526080485,6.4083457526080485,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,fourth_ventricle,15,0.8132218239745121,0.6852348993288591,1209,1302,1021,-7.142857142857142,7.142857142857142,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,brain_stem,16,0.9265232519747035,0.8631050962948943,20032,19341,18240,3.5727211622977095,3.5727211622977095,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_hippocampus,17,0.8760307861462342,0.7794081682562973,3589,3687,3187,-2.6579875237320314,2.6579875237320314,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_amygdala,18,0.850597609561753,0.7400346620450606,1591,1421,1281,11.963406052076003,11.963406052076003,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,csf,24,0.4289757947180459,0.27305486018342856,100734,126076,48648,-20.100574256797486,20.100574256797486,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_accumbens_area,26,0.6931905126243305,0.5304449648711944,758,549,453,38.069216757741344,38.069216757741344,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,left_ventral_dc,28,0.8674337168584292,0.7659010600706714,4142,3854,3468,7.4727555786196165,7.4727555786196165,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,right_cerebral_white_matter,41,0.6822861444838295,0.5177802006313174,143911,174879,108753,-17.70824398584164,17.70824398584164,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,right_cerebral_cortex,42,0.6603394832534051,0.49291553718180714,169955,247503,137832,-31.33214546894381,31.33214546894381,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,right_lateral_ventricle,43,0.7806782686300758,0.6402561756633119,4417,4547,3499,-2.8590279305036286,2.8590279305036286,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,right_inferior_lateral_ventricle,44,0.5892857142857143,0.4177215189873418,362,310,198,16.7741935483871,16.7741935483871,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,right_cerebellum_white_matter,46,0.8360165265707366,0.7182374541003672,11288,9769,8802,15.54918620124885,15.54918620124885,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,right_cerebellum_cortex,47,0.8966874912115064,0.812723035467191,50205,49357,44638,1.7180946978138867,1.7180946978138867,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,right_thalamus,49,0.8911260253542133,0.8036314727639543,7054,6356,5975,10.981749528005034,10.981749528005034,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,right_caudate,50,0.768033946251768,0.6234213547646383,4037,3033,2715,33.102538740520934,33.102538740520934,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,right_putamen,51,0.8468410976388002,0.7343663530713891,5129,4273,3981,20.032763866136204,20.032763866136204,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,right_pallidum,52,0.7827758554402153,0.6430827542640556,1403,1198,1018,17.111853088480803,17.111853088480803,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,right_hippocampus,53,0.8484490398818316,0.736788096459723,3278,3492,2872,-6.128293241695303,6.128293241695303,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,right_amygdala,54,0.8403068340306834,0.724594107035478,1421,1447,1205,-1.796821008984105,1.796821008984105,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,right_accumbens_area,58,0.7383246849518161,0.5851938895417156,723,626,498,15.495207667731629,15.495207667731629,4
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,right_ventral_dc,60,0.8353356890459364,0.7172330097087378,3614,3461,2955,4.420687662525282,4.420687662525282,4
trusted_hard_vote_header_affine,tigerbx_2024_3di,TIGERBx,kate_2024_3di,left_cerebral_white_matter,2,0.5464116117002173,0.3759053223721318,101794,173859,75310,-41.45025566694851,41.45025566694851,4
trusted_hard_vote_header_affine,tigerbx_2024_3di,TIGERBx,kate_2024_3di,left_cerebral_cortex,3,0.580024792449662,0.4084752954597625,155413,249549,117444,-37.72245130214908,37.72245130214908,4
trusted_hard_vote_header_affine,tigerbx_2024_3di,TIGERBx,kate_2024_3di,left_lateral_ventricle,4,0.7664863839073915,0.6213846153846154,5728,4811,4039,19.06048638536687,19.06048638536687,4
trusted_hard_vote_header_affine,tigerbx_2024_3di,TIGERBx,kate_2024_3di,left_inferior_lateral_ventricle,5,0.33877551020408164,0.20393120393120392,342,148,83,131.08108108108107,131.08108108108107,4
trusted_hard_vote_header_affine,tigerbx_2024_3di,TIGERBx,kate_2024_3di,left_cerebellum_white_matter,7,0.8005242972959853,0.6673951756516108,10715,9884,8245,8.407527316875758,8.407527316875758,4
trusted_hard_vote_header_affine,tigerbx_2024_3di,TIGERBx,kate_2024_3di,left_cerebellum_cortex,8,0.8867250757795956,0.7965014359777703,46473,49859,42710,-6.7911510459495785,6.7911510459495785,4
