reference_variant,source_id,method,scan_id,n_structures,median_dice,p10_dice,median_abs_volume_error_pct,p90_abs_volume_error_pct,interpretation
trusted_hard_vote_header_affine,synthseg_2024_3di,SynthSeg,2024_phi_3di,32,0.8164587003211001,0.6368539216164771,15.522196934490239,35.79176835010359,moderate_spatial_agreement
trusted_hard_vote_header_affine,synthseg_2024_t1ffe_ax,SynthSeg,2024_phi_t1ffe_ax,32,0.901477853016349,0.8235294117647058,9.544569061860276,23.705901747444774,high_spatial_agreement
trusted_hard_vote_header_affine,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,32,0.9011458659577023,0.8088818398096749,11.02086226828501,32.42811501597444,high_spatial_agreement
trusted_hard_vote_header_affine,tigerbx_2024_3di,TIGERBx,kate_2024_3di,32,0.7638413878707713,0.5602836879432624,16.936840876030075,72.90322580645162,moderate_spatial_agreement
trusted_hard_vote_header_affine,tigerbx_2024_t1ffe_401,TIGERBx,kate_2024_t1_ffe_401,32,0.8047673063555051,0.7139240506329114,6.752348923021808,38.18332986905009,moderate_spatial_agreement
trusted_hard_vote_header_affine,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,32,0.7915713681702745,0.5445240532241555,7.948944403429841,98.97204860560296,moderate_spatial_agreement
trusted_leave_one_source_out_hard_vote_header_affine,synthseg_2024_t1ffe_ax,SynthSeg,2024_phi_t1ffe_ax,32,0.8364048818377359,0.6967047747141897,9.173040891097724,24.27956276912885,moderate_spatial_agreement
trusted_leave_one_source_out_hard_vote_header_affine,synthseg_2024_t1ffe_sag,SynthSeg,2024_phi_t1ffe_sag,32,0.8398370686214678,0.7204599117133764,11.698068471348009,43.25259515570934,moderate_spatial_agreement
trusted_leave_one_source_out_hard_vote_header_affine,tigerbx_2024_t1ffe_401,TIGERBx,kate_2024_t1_ffe_401,32,0.7535806418850379,0.6329317269076306,6.502348210967328,30.03636363636364,moderate_spatial_agreement
trusted_leave_one_source_out_hard_vote_header_affine,tigerbx_2024_t1ffe_601,TIGERBx,kate_2024_t1_ffe_601,32,0.7496663146622586,0.5084033613445378,9.112191470474826,99.04171072381897,moderate_spatial_agreement
