reference_variant,session_group,structure,source_id,method,scan_id,include_in_reference,source_volume_ml,reference_volume_ml,signed_error_pct,abs_rel_error_pct,operational_accuracy_pct,n_reference_sources,n_reference_methods,reference_strength
all_source_median,2018_primary_t1,left_cerebral_white_matter,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,211.17272,200.912971328125,5.106563605153741,5.106563605153741,94.89343639484626,2,2,weak
trusted_source_median,2018_primary_t1,left_cerebral_white_matter,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,211.17272,200.912971328125,5.106563605153741,5.106563605153741,94.89343639484626,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_cerebral_white_matter,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,211.17272,200.912971328125,5.106563605153741,5.106563605153741,94.89343639484626,2,2,weak
all_source_median,2018_primary_t1,left_cerebral_cortex,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,256.64316,249.43442179687503,2.8900334409319712,2.8900334409319712,97.10996655906803,2,2,weak
trusted_source_median,2018_primary_t1,left_cerebral_cortex,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,256.64316,249.43442179687503,2.8900334409319712,2.8900334409319712,97.10996655906803,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_cerebral_cortex,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,256.64316,249.43442179687503,2.8900334409319712,2.8900334409319712,97.10996655906803,2,2,weak
all_source_median,2018_primary_t1,left_lateral_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,4.730876,5.266268078125,-10.16644177969042,10.16644177969042,89.83355822030958,2,2,weak
trusted_source_median,2018_primary_t1,left_lateral_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,4.730876,5.266268078125,-10.16644177969042,10.16644177969042,89.83355822030958,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_lateral_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,4.730876,5.266268078125,-10.16644177969042,10.16644177969042,89.83355822030958,2,2,weak
all_source_median,2018_primary_t1,left_inferior_lateral_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,0.352219,0.3184923125,10.589482438449757,10.589482438449757,89.41051756155025,2,2,weak
trusted_source_median,2018_primary_t1,left_inferior_lateral_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,0.352219,0.3184923125,10.589482438449757,10.589482438449757,89.41051756155025,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_inferior_lateral_ventricle,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,0.352219,0.3184923125,10.589482438449757,10.589482438449757,89.41051756155025,2,2,weak
all_source_median,2018_primary_t1,left_cerebellum_white_matter,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,12.251947,11.628805531249998,5.358602541554571,5.358602541554571,94.64139745844543,2,2,weak
trusted_source_median,2018_primary_t1,left_cerebellum_white_matter,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,12.251947,11.628805531249998,5.358602541554571,5.358602541554571,94.64139745844543,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_cerebellum_white_matter,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,12.251947,11.628805531249998,5.358602541554571,5.358602541554571,94.64139745844543,2,2,weak
all_source_median,2018_primary_t1,left_cerebellum_cortex,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,52.650811999999995,49.902505609375,5.50735149881669,5.50735149881669,94.49264850118331,2,2,weak
trusted_source_median,2018_primary_t1,left_cerebellum_cortex,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,52.650811999999995,49.902505609375,5.50735149881669,5.50735149881669,94.49264850118331,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_cerebellum_cortex,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,52.650811999999995,49.902505609375,5.50735149881669,5.50735149881669,94.49264850118331,2,2,weak
all_source_median,2018_primary_t1,left_thalamus,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,6.719574,6.548458875,2.613059473478026,2.613059473478026,97.38694052652197,2,2,weak
trusted_source_median,2018_primary_t1,left_thalamus,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,6.719574,6.548458875,2.613059473478026,2.613059473478026,97.38694052652197,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_thalamus,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,6.719574,6.548458875,2.613059473478026,2.613059473478026,97.38694052652197,2,2,weak
all_source_median,2018_primary_t1,left_caudate,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,3.88442,3.660911171875,6.105278648717554,6.105278648717554,93.89472135128244,2,2,weak
trusted_source_median,2018_primary_t1,left_caudate,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,3.88442,3.660911171875,6.105278648717554,6.105278648717554,93.89472135128244,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_caudate,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,3.88442,3.660911171875,6.105278648717554,6.105278648717554,93.89472135128244,2,2,weak
all_source_median,2018_primary_t1,left_putamen,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,5.28038,5.124418515625,3.043496230829973,3.043496230829973,96.95650376917003,2,2,weak
trusted_source_median,2018_primary_t1,left_putamen,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,5.28038,5.124418515625,3.043496230829973,3.043496230829973,96.95650376917003,2,2,weak
trusted_method_balanced_median,2018_primary_t1,left_putamen,synthseg_2018_t1,SynthSeg,2018_ge_fspgr,true,5.28038,5.124418515625,3.043496230829973,3.043496230829973,96.95650376917003,2,2,weak
