reference_variant,session_group,structure,n_sources,n_methods,reference_volume_ml,source_median_ml,source_mad_ml,reference_strength
all_source_median,2018_primary_t1,brain_stem,2,2,17.809581828124998,17.809581828124998,1.587609171875,weak
trusted_source_median,2018_primary_t1,brain_stem,2,2,17.809581828124998,17.809581828124998,1.587609171875,weak
trusted_method_balanced_median,2018_primary_t1,brain_stem,2,2,17.809581828124998,17.809581828124998,1.587609171875,weak
all_source_median,2018_primary_t1,csf,2,2,101.42277484374999,101.42277484374999,100.59484515624999,weak
trusted_source_median,2018_primary_t1,csf,2,2,101.42277484374999,101.42277484374999,100.59484515624999,weak
trusted_method_balanced_median,2018_primary_t1,csf,2,2,101.42277484374999,101.42277484374999,100.59484515624999,weak
all_source_median,2018_primary_t1,fourth_ventricle,2,2,1.550764953125,1.550764953125,0.13761395312500002,weak
trusted_source_median,2018_primary_t1,fourth_ventricle,2,2,1.550764953125,1.550764953125,0.13761395312500002,weak
trusted_method_balanced_median,2018_primary_t1,fourth_ventricle,2,2,1.550764953125,1.550764953125,0.13761395312500002,weak
all_source_median,2018_primary_t1,left_accumbens_area,2,2,0.605257125,0.605257125,0.06385087499999997,weak
trusted_source_median,2018_primary_t1,left_accumbens_area,2,2,0.605257125,0.605257125,0.06385087499999997,weak
trusted_method_balanced_median,2018_primary_t1,left_accumbens_area,2,2,0.605257125,0.605257125,0.06385087499999997,weak
all_source_median,2018_primary_t1,left_amygdala,2,2,1.5913380781250002,1.5913380781250002,0.12092792187500001,weak
trusted_source_median,2018_primary_t1,left_amygdala,2,2,1.5913380781250002,1.5913380781250002,0.12092792187500001,weak
trusted_method_balanced_median,2018_primary_t1,left_amygdala,2,2,1.5913380781250002,1.5913380781250002,0.12092792187500001,weak
all_source_median,2018_primary_t1,left_caudate,2,2,3.660911171875,3.660911171875,0.22350882812499995,weak
trusted_source_median,2018_primary_t1,left_caudate,2,2,3.660911171875,3.660911171875,0.22350882812499995,weak
trusted_method_balanced_median,2018_primary_t1,left_caudate,2,2,3.660911171875,3.660911171875,0.22350882812499995,weak
all_source_median,2018_primary_t1,left_cerebellum_cortex,2,2,49.902505609375,49.902505609375,2.7483063906249967,weak
trusted_source_median,2018_primary_t1,left_cerebellum_cortex,2,2,49.902505609375,49.902505609375,2.7483063906249967,weak
trusted_method_balanced_median,2018_primary_t1,left_cerebellum_cortex,2,2,49.902505609375,49.902505609375,2.7483063906249967,weak
all_source_median,2018_primary_t1,left_cerebellum_white_matter,2,2,11.628805531249998,11.628805531249998,0.6231414687500001,weak
trusted_source_median,2018_primary_t1,left_cerebellum_white_matter,2,2,11.628805531249998,11.628805531249998,0.6231414687500001,weak
trusted_method_balanced_median,2018_primary_t1,left_cerebellum_white_matter,2,2,11.628805531249998,11.628805531249998,0.6231414687500001,weak
all_source_median,2018_primary_t1,left_cerebral_cortex,2,2,249.43442179687503,249.43442179687503,7.208738203125009,weak
trusted_source_median,2018_primary_t1,left_cerebral_cortex,2,2,249.43442179687503,249.43442179687503,7.208738203125009,weak
trusted_method_balanced_median,2018_primary_t1,left_cerebral_cortex,2,2,249.43442179687503,249.43442179687503,7.208738203125009,weak
all_source_median,2018_primary_t1,left_cerebral_white_matter,2,2,200.912971328125,200.912971328125,10.259748671875002,weak
trusted_source_median,2018_primary_t1,left_cerebral_white_matter,2,2,200.912971328125,200.912971328125,10.259748671875002,weak
trusted_method_balanced_median,2018_primary_t1,left_cerebral_white_matter,2,2,200.912971328125,200.912971328125,10.259748671875002,weak
all_source_median,2018_primary_t1,left_hippocampus,2,2,3.835966,3.835966,0.01096599999999981,weak
trusted_source_median,2018_primary_t1,left_hippocampus,2,2,3.835966,3.835966,0.01096599999999981,weak
trusted_method_balanced_median,2018_primary_t1,left_hippocampus,2,2,3.835966,3.835966,0.01096599999999981,weak
all_source_median,2018_primary_t1,left_inferior_lateral_ventricle,2,2,0.3184923125,0.3184923125,0.03372668749999999,weak
trusted_source_median,2018_primary_t1,left_inferior_lateral_ventricle,2,2,0.3184923125,0.3184923125,0.03372668749999999,weak
trusted_method_balanced_median,2018_primary_t1,left_inferior_lateral_ventricle,2,2,0.3184923125,0.3184923125,0.03372668749999999,weak
