method,scan_id,label,n_augments,mean_voxels,std_voxels,cv_pct,min_voxels,max_voxels,mean_volume_ml,std_volume_ml,consensus_voxels,present_any_augment_voxels,mean_consensus_vote_fraction,mean_consensus_entropy_bits
SynthSeg,kate_2018_t1,2,9,210012.222222,543.312474,0.258705,209198,210722,210.012222,0.543312,196699,437942,0.751674,0.720324
SynthSeg,kate_2018_t1,3,9,259723.0,546.96115,0.210594,259041,260466,259.723,0.546961,262652,575503,0.666935,1.015564
SynthSeg,kate_2018_t1,4,9,4689.444444,71.991512,1.535182,4563,4769,4.689444,0.071992,3441,12462,0.703284,0.838817
SynthSeg,kate_2018_t1,5,9,346.666667,11.434597,3.298441,328,367,0.346667,0.011435,13,1759,0.401709,1.810449
SynthSeg,kate_2018_t1,7,9,11532.0,77.387014,0.671063,11429,11645,11.532,0.077387,10290,28153,0.703574,0.865163
SynthSeg,kate_2018_t1,8,9,53573.666667,291.6149,0.544325,53331,54108,53.573667,0.291615,55162,99643,0.76427,0.736383
SynthSeg,kate_2018_t1,10,9,6739.0,86.417591,1.28235,6633,6888,6.739,0.086418,6609,10117,0.881038,0.347263
SynthSeg,kate_2018_t1,11,9,3852.666667,23.510636,0.610243,3806,3881,3.852667,0.023511,3643,9485,0.671394,0.973413
SynthSeg,kate_2018_t1,12,9,5283.444444,41.635655,0.78804,5234,5362,5.283444,0.041636,5242,8902,0.82477,0.52618
SynthSeg,kate_2018_t1,13,9,1445.444444,22.831508,1.579549,1411,1483,1.445444,0.022832,1425,2432,0.830565,0.491222
SynthSeg,kate_2018_t1,14,9,664.222222,21.02842,3.165871,627,687,0.664222,0.021028,629,1489,0.707296,0.841129
SynthSeg,kate_2018_t1,15,9,1393.222222,12.387269,0.889109,1376,1418,1.393222,0.012387,1117,3941,0.639013,1.05856
SynthSeg,kate_2018_t1,16,9,19396.666667,137.149553,0.707078,19144,19524,19.396667,0.13715,19320,28746,0.87159,0.373459
SynthSeg,kate_2018_t1,17,9,3798.333333,30.712375,0.808575,3750,3853,3.798333,0.030712,3801,8481,0.684235,0.918319
SynthSeg,kate_2018_t1,18,9,1655.0,27.586228,1.666842,1609,1691,1.655,0.027586,1631,3943,0.648341,1.056608
SynthSeg,kate_2018_t1,24,9,202431.0,1651.773214,0.815969,199599,204377,202.431,1.651773,127335,692209,0.691248,0.890893
SynthSeg,kate_2018_t1,26,9,679.444444,9.900898,1.457205,662,696,0.679444,0.009901,590,2248,0.509605,1.515407
SynthSeg,kate_2018_t1,28,9,4101.333333,33.637776,0.820167,4047,4155,4.101333,0.033638,4103,6381,0.854388,0.426852
SynthSeg,kate_2018_t1,41,9,206275.666667,268.441334,0.130137,205863,206672,206.275667,0.268441,188981,437323,0.755442,0.706102
SynthSeg,kate_2018_t1,42,9,261630.333333,470.790824,0.179945,261043,262281,261.630333,0.470791,269458,571776,0.667232,1.015533
SynthSeg,kate_2018_t1,43,9,4562.555556,64.364414,1.41071,4484,4677,4.562556,0.064364,3138,13086,0.685787,0.891181
SynthSeg,kate_2018_t1,44,9,424.888889,15.687929,3.692243,396,447,0.424889,0.015688,90,1951,0.47284,1.529419
SynthSeg,kate_2018_t1,46,9,11121.222222,92.013284,0.827367,10999,11301,11.121222,0.092013,9707,26463,0.720923,0.812584
SynthSeg,kate_2018_t1,47,9,50948.666667,213.010563,0.418089,50618,51331,50.948667,0.213011,52408,94917,0.764005,0.74288
SynthSeg,kate_2018_t1,49,9,6818.333333,95.424054,1.399522,6671,6951,6.818333,0.095424,6747,10006,0.885282,0.332712
SynthSeg,kate_2018_t1,50,9,3839.777778,39.136868,1.019248,3784,3888,3.839778,0.039137,3603,9225,0.681993,0.940375
SynthSeg,kate_2018_t1,51,9,5341.666667,13.294736,0.248887,5321,5358,5.341667,0.013295,5304,8713,0.836685,0.483018
SynthSeg,kate_2018_t1,52,9,1627.888889,23.148674,1.422006,1599,1662,1.627889,0.023149,1612,2551,0.854632,0.424245
SynthSeg,kate_2018_t1,53,9,3774.444444,49.787325,1.319064,3702,3858,3.774444,0.049787,3706,8220,0.706062,0.86255
SynthSeg,kate_2018_t1,54,9,1842.444444,40.543529,2.200529,1759,1892,1.842444,0.040544,1900,3923,0.691111,0.928733
SynthSeg,kate_2018_t1,58,9,785.888889,14.512447,1.846628,766,806,0.785889,0.014512,754,2317,0.550545,1.379237
SynthSeg,kate_2018_t1,60,9,3951.555556,37.696522,0.953967,3870,4001,3.951556,0.037697,3976,5906,0.86466,0.393353
