overlay_group,source_id,method,scan_id,output_type,overlay_path,n_nonzero_voxels,n_labels,label_min,label_max,notes
tigerbx_native,tigerbx_kate_2024_3di_tbetmask,TIGERBx,kate_2024_3di,tbetmask,/mnt/d/YandexDisk/kondratevakate/01_insidekatesbrain/01_my_brain_years/reprocessed_2026/qc_overlays/kate_n1_2026/tigerbx_native/kate_2024_3di_tbetmask_overlay.png,20890980,1,1,1,Native TIGERBx output over TIGERBx brain-extracted image.
tigerbx_native,tigerbx_kate_2024_3di_aseg,TIGERBx,kate_2024_3di,aseg,/mnt/d/YandexDisk/kondratevakate/01_insidekatesbrain/01_my_brain_years/reprocessed_2026/qc_overlays/kate_n1_2026/tigerbx_native/kate_2024_3di_aseg_overlay.png,16787727,42,2,254,Native TIGERBx output over TIGERBx brain-extracted image.
tigerbx_native,tigerbx_kate_2024_3di_dgm,TIGERBx,kate_2024_3di,dgm,/mnt/d/YandexDisk/kondratevakate/01_insidekatesbrain/01_my_brain_years/reprocessed_2026/qc_overlays/kate_n1_2026/tigerbx_native/kate_2024_3di_dgm_overlay.png,785565,12,1,12,Native TIGERBx output over TIGERBx brain-extracted image.
tigerbx_native,tigerbx_kate_2024_t1_ffe_401_tbetmask,TIGERBx,kate_2024_t1_ffe_401,tbetmask,/mnt/d/YandexDisk/kondratevakate/01_insidekatesbrain/01_my_brain_years/reprocessed_2026/qc_overlays/kate_n1_2026/tigerbx_native/kate_2024_t1_ffe_401_tbetmask_overlay.png,283597,1,1,1,Native TIGERBx output over TIGERBx brain-extracted image.
tigerbx_native,tigerbx_kate_2024_t1_ffe_401_aseg,TIGERBx,kate_2024_t1_ffe_401,aseg,/mnt/d/YandexDisk/kondratevakate/01_insidekatesbrain/01_my_brain_years/reprocessed_2026/qc_overlays/kate_n1_2026/tigerbx_native/kate_2024_t1_ffe_401_aseg_overlay.png,230252,42,2,255,Native TIGERBx output over TIGERBx brain-extracted image.
tigerbx_native,tigerbx_kate_2024_t1_ffe_401_dgm,TIGERBx,kate_2024_t1_ffe_401,dgm,/mnt/d/YandexDisk/kondratevakate/01_insidekatesbrain/01_my_brain_years/reprocessed_2026/qc_overlays/kate_n1_2026/tigerbx_native/kate_2024_t1_ffe_401_dgm_overlay.png,8250,12,1,12,Native TIGERBx output over TIGERBx brain-extracted image.
tigerbx_native,tigerbx_kate_2024_t1_ffe_601_tbetmask,TIGERBx,kate_2024_t1_ffe_601,tbetmask,/mnt/d/YandexDisk/kondratevakate/01_insidekatesbrain/01_my_brain_years/reprocessed_2026/qc_overlays/kate_n1_2026/tigerbx_native/kate_2024_t1_ffe_601_tbetmask_overlay.png,304313,1,1,1,Native TIGERBx output over TIGERBx brain-extracted image.
tigerbx_native,tigerbx_kate_2024_t1_ffe_601_aseg,TIGERBx,kate_2024_t1_ffe_601,aseg,/mnt/d/YandexDisk/kondratevakate/01_insidekatesbrain/01_my_brain_years/reprocessed_2026/qc_overlays/kate_n1_2026/tigerbx_native/kate_2024_t1_ffe_601_aseg_overlay.png,238566,43,2,255,Native TIGERBx output over TIGERBx brain-extracted image.
tigerbx_native,tigerbx_kate_2024_t1_ffe_601_dgm,TIGERBx,kate_2024_t1_ffe_601,dgm,/mnt/d/YandexDisk/kondratevakate/01_insidekatesbrain/01_my_brain_years/reprocessed_2026/qc_overlays/kate_n1_2026/tigerbx_native/kate_2024_t1_ffe_601_dgm_overlay.png,8902,12,1,12,Native TIGERBx output over TIGERBx brain-extracted image.
registered_pseudo_gt,synthseg_2024_3di,SynthSeg,2024_phi_3di,registered_aseg_vs_consensus,/mnt/d/YandexDisk/kondratevakate/01_insidekatesbrain/01_my_brain_years/reprocessed_2026/qc_overlays/kate_n1_2026/registered_pseudo_gt/synthseg_2024_3di_vs_consensus_overlay.png,928766,32,2,60,median_dice=0.831; p90_hd95_mm=22.00; median_abs_volume_error_pct=16.33
registered_pseudo_gt,tigerbx_2024_3di,TIGERBx,kate_2024_3di,registered_aseg_vs_consensus,/mnt/d/YandexDisk/kondratevakate/01_insidekatesbrain/01_my_brain_years/reprocessed_2026/qc_overlays/kate_n1_2026/registered_pseudo_gt/tigerbx_2024_3di_vs_consensus_overlay.png,764989,42,2,254,median_dice=0.775; p90_hd95_mm=25.08; median_abs_volume_error_pct=17.76
registered_pseudo_gt,synthseg_2024_t1ffe_ax,SynthSeg,2024_phi_t1ffe_ax,registered_aseg_vs_consensus,/mnt/d/YandexDisk/kondratevakate/01_insidekatesbrain/01_my_brain_years/reprocessed_2026/qc_overlays/kate_n1_2026/registered_pseudo_gt/synthseg_2024_t1ffe_ax_vs_consensus_overlay.png,1310262,32,2,60,median_dice=0.903; p90_hd95_mm=2.00; median_abs_volume_error_pct=8.88
registered_pseudo_gt,tigerbx_2024_t1ffe_401,TIGERBx,kate_2024_t1_ffe_401,registered_aseg_vs_consensus,/mnt/d/YandexDisk/kondratevakate/01_insidekatesbrain/01_my_brain_years/reprocessed_2026/qc_overlays/kate_n1_2026/registered_pseudo_gt/tigerbx_2024_t1ffe_401_vs_consensus_overlay.png,1101174,42,2,255,median_dice=0.806; p90_hd95_mm=2.45; median_abs_volume_error_pct=6.47
