group,source_image,crop_image,crop_name,source_width,source_height,detector_score,det_width_px,det_height_px,det_area_pct,crop_x0,crop_y0,crop_x1,crop_y1,crop_side_px,crop_size,padding_scale,source_metadata
1_1,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-36-57.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3subjects_3ddfa_1024\1_1_photo_2026-04-09_19-36-57_facecrop.jpg,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,960,1280,0.9999181032180786,427.6431884765625,638.5460968017578,22.22248444218485,-225,-306,1180,1098,1405,1024,2.2,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3subjects_3ddfa_v2\faceage3_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1_metadata.json
1_1,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-37-48.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3subjects_3ddfa_1024\1_1_photo_2026-04-09_19-37-48_facecrop.jpg,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,960,1280,0.9761950373649597,71.82403564453125,87.02841186523438,0.5086858525305615,485,239,676,431,191,1024,2.2,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3subjects_3ddfa_v2\faceage3_1_1_photo_2026-04-09_19-37-48_3ddfa_v2_face1_metadata.json
1_1,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-37-56.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3subjects_3ddfa_1024\1_1_photo_2026-04-09_19-37-56_facecrop.jpg,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,768,1024,0.9992457628250122,65.15226745605469,84.56767272949219,0.7006042012288383,151,175,337,361,186,1024,2.2,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3subjects_3ddfa_v2\faceage3_1_1_photo_2026-04-09_19-37-56_3ddfa_v2_face1_metadata.json
1_1,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-38-04.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3subjects_3ddfa_1024\1_1_photo_2026-04-09_19-38-04_facecrop.jpg,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,721,1280,0.9712694883346558,69.17941284179688,86.43576049804688,0.6479255330908745,292,381,482,571,190,1024,2.2,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3subjects_3ddfa_v2\faceage3_1_1_photo_2026-04-09_19-38-04_3ddfa_v2_face1_metadata.json
2_1,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_2026-04-09_20-37-59.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3subjects_3ddfa_1024\2_1_photo_2026-04-09_20-37-59_facecrop.jpg,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,1920,2560,0.9583938717842102,703.8134765625,747.3181457519531,10.700939580483464,620,-7,2264,1637,1644,1024,2.2,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3subjects_3ddfa_v2\faceage3_2_1_photo_2026-04-09_20-37-59_3ddfa_v2_face1_metadata.json
2_1,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_2_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3subjects_3ddfa_1024\2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,1920,2560,0.9984103441238403,564.350830078125,714.8890991210938,8.208175791479334,405,376,1978,1948,1573,1024,2.2,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3subjects_3ddfa_v2\faceage3_2_1_photo_2_2026-04-09_20-38-32_3ddfa_v2_face1_metadata.json
2_1,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_3_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3subjects_3ddfa_1024\2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,1920,2560,0.9982559084892273,552.5953369140625,788.1527099609375,8.860870611584383,552,65,2286,1799,1734,1024,2.2,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3subjects_3ddfa_v2\faceage3_2_1_photo_3_2026-04-09_20-38-32_3ddfa_v2_face1_metadata.json
2_1,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_4_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3subjects_3ddfa_1024\2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,1920,2560,0.9599499702453613,143.3702392578125,199.4974365234375,0.5819090821469217,694,844,1133,1283,439,1024,2.2,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3subjects_3ddfa_v2\faceage3_2_1_photo_4_2026-04-09_20-38-32_3ddfa_v2_face1_metadata.json
2_1,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_5_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3subjects_3ddfa_1024\2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,1920,2560,0.9985790252685547,633.3078002929688,810.7493591308594,10.44624619995318,182,-195,1966,1588,1784,1024,2.2,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3subjects_3ddfa_v2\faceage3_2_1_photo_5_2026-04-09_20-38-32_3ddfa_v2_face1_metadata.json
3_1,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\3_1\photo\IMG_20190814_110411.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3subjects_3ddfa_1024\3_1_IMG_20190814_110411_facecrop.jpg,3_1_IMG_20190814_110411_facecrop.jpg,3000,4000,0.996021568775177,232.51318359375,292.262451171875,0.5662906080573797,1120,1510,1763,2153,643,1024,2.2,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3subjects_3ddfa_v2\faceage3_3_1_IMG_20190814_110411_3ddfa_v2_face1_metadata.json
