"dataset_version","folder_label","source_role","local_status","use_for_avatar","use_for_consistency","relative_path","file_name","bytes","last_write_time","notes"
"dataset_v0_three_people","1_1","included_test_subject","present","yes","yes","1_1\photo\photo_2026-04-09_19-36-57.jpg","photo_2026-04-09_19-36-57.jpg","180024","2026-06-02T12:51:08","folder label only; no identity inference"
"dataset_v0_three_people","1_1","included_test_subject","present","yes","yes","1_1\photo\photo_2026-04-09_19-37-48.jpg","photo_2026-04-09_19-37-48.jpg","405562","2026-06-02T12:54:16","folder label only; no identity inference"
"dataset_v0_three_people","1_1","included_test_subject","present","yes","yes","1_1\photo\photo_2026-04-09_19-37-56.jpg","photo_2026-04-09_19-37-56.jpg","117843","2026-06-02T12:50:04","folder label only; no identity inference"
"dataset_v0_three_people","1_1","included_test_subject","present","yes","yes","1_1\photo\photo_2026-04-09_19-38-04.jpg","photo_2026-04-09_19-38-04.jpg","225553","2026-06-02T12:53:03","folder label only; no identity inference"
"dataset_v0_three_people","2_1","included_test_subject","present","yes","yes","2_1\photos\photo_2_2026-04-09_20-38-32.jpg","photo_2_2026-04-09_20-38-32.jpg","252232","2026-06-02T12:53:14","folder label only; no identity inference"
"dataset_v0_three_people","2_1","included_test_subject","present","yes","yes","2_1\photos\photo_2026-04-09_20-37-59.jpg","photo_2026-04-09_20-37-59.jpg","476658","2026-06-02T12:54:36","folder label only; no identity inference"
"dataset_v0_three_people","2_1","included_test_subject","present","yes","yes","2_1\photos\photo_3_2026-04-09_20-38-32.jpg","photo_3_2026-04-09_20-38-32.jpg","295182","2026-06-02T12:53:30","folder label only; no identity inference"
"dataset_v0_three_people","2_1","included_test_subject","present","yes","yes","2_1\photos\photo_4_2026-04-09_20-38-32.jpg","photo_4_2026-04-09_20-38-32.jpg","769071","2026-06-02T12:49:41","folder label only; no identity inference"
"dataset_v0_three_people","2_1","included_test_subject","present","yes","yes","2_1\photos\photo_5_2026-04-09_20-38-32.jpg","photo_5_2026-04-09_20-38-32.jpg","353627","2026-06-02T12:53:48","folder label only; no identity inference"
"dataset_v0_three_people","3_1","included_test_subject","present","yes","yes","3_1\photo\IMG_20190814_110411.jpg","IMG_20190814_110411.jpg","10062875","2026-06-02T12:08:50","folder label only; no identity inference"
"dataset_v0_three_people","3_1","included_test_subject","present","yes","yes","3_1\photo\IMG_20190814_110418(1).jpg","IMG_20190814_110418(1).jpg","9577023","2026-06-02T12:09:24","folder label only; no identity inference"
"dataset_v0_three_people","3_1","included_test_subject","present","yes","yes","3_1\photo\IMG_20190814_110418.jpg","IMG_20190814_110418.jpg","9577023","2026-06-02T12:09:25","folder label only; no identity inference"
"dataset_v0_three_people","3_1","included_test_subject","present","yes","yes","3_1\photo\IMG_20190821_140529.jpg","IMG_20190821_140529.jpg","3197830","2026-06-02T12:36:25","folder label only; no identity inference"
"dataset_v0_three_people","3_1","included_test_subject","present","yes","yes","3_1\photo\photo_2019-11-13_09-17-06.jpg","photo_2019-11-13_09-17-06.jpg","76422","2026-06-02T12:49:12","folder label only; no identity inference"
"dataset_v0_three_people","1_2","deferred_not_blocking_v0","present_no_test_photos","no","no","1_2","","","2026-06-02T12:01:15","deferred; empty locally; user may add/sync later"
"dataset_v0_three_people","1_3","deferred_not_blocking_v0","present_no_test_photos","no","no","1_3\photos","","","2026-06-02T12:01:15","deferred; photos folder empty locally; user may add/sync later"
"dataset_v0_three_people","1_3","deferred_not_blocking_v0","present_no_test_photos","no","no","1_3\nii","","","2026-06-02T12:49:34","MRI/NIfTI present; not a photo folder"
