group,image_name,image_path,method,status,mesh_count,mesh_names
1_1,photo_2026-04-09_19-36-57.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-36-57.jpg,3ddfa_v2,ok,1,kate_batch_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1.ply
1_1,photo_2026-04-09_19-36-57.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-36-57.jpg,mediapipe,ok,1,kate_batch_1_1_photo_2026_04_09_19_36_57_mediapipe_facemesh.ply
1_1,photo_2026-04-09_19-37-48.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-37-48.jpg,3ddfa_v2,ok,1,kate_batch_1_1_photo_2026-04-09_19-37-48_3ddfa_v2_face1.ply
1_1,photo_2026-04-09_19-37-48.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-37-48.jpg,mediapipe,failed_or_not_run,0,
1_1,photo_2026-04-09_19-37-56.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-37-56.jpg,3ddfa_v2,ok,1,kate_batch_1_1_photo_2026-04-09_19-37-56_3ddfa_v2_face1.ply
1_1,photo_2026-04-09_19-37-56.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-37-56.jpg,mediapipe,failed_or_not_run,0,
1_1,photo_2026-04-09_19-38-04.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-38-04.jpg,3ddfa_v2,ok,1,kate_batch_1_1_photo_2026-04-09_19-38-04_3ddfa_v2_face1.ply
1_1,photo_2026-04-09_19-38-04.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-38-04.jpg,mediapipe,failed_or_not_run,0,
2_1,photo_2026-04-09_20-37-59.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_2026-04-09_20-37-59.jpg,3ddfa_v2,ok,1,kate_batch_2_1_photo_2026-04-09_20-37-59_3ddfa_v2_face1.ply
2_1,photo_2026-04-09_20-37-59.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_2026-04-09_20-37-59.jpg,mediapipe,ok,1,kate_batch_2_1_photo_2026_04_09_20_37_59_mediapipe_facemesh.ply
2_1,photo_2_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_2_2026-04-09_20-38-32.jpg,3ddfa_v2,ok,1,kate_batch_2_1_photo_2_2026-04-09_20-38-32_3ddfa_v2_face1.ply
2_1,photo_2_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_2_2026-04-09_20-38-32.jpg,mediapipe,ok,1,kate_batch_2_1_photo_2_2026_04_09_20_38_32_mediapipe_facemesh.ply
2_1,photo_3_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_3_2026-04-09_20-38-32.jpg,3ddfa_v2,ok,1,kate_batch_2_1_photo_3_2026-04-09_20-38-32_3ddfa_v2_face1.ply
2_1,photo_3_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_3_2026-04-09_20-38-32.jpg,mediapipe,ok,1,kate_batch_2_1_photo_3_2026_04_09_20_38_32_mediapipe_facemesh.ply
2_1,photo_4_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_4_2026-04-09_20-38-32.jpg,3ddfa_v2,ok,1,kate_batch_2_1_photo_4_2026-04-09_20-38-32_3ddfa_v2_face1.ply
2_1,photo_4_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_4_2026-04-09_20-38-32.jpg,mediapipe,failed_or_not_run,0,
2_1,photo_5_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_5_2026-04-09_20-38-32.jpg,3ddfa_v2,ok,1,kate_batch_2_1_photo_5_2026-04-09_20-38-32_3ddfa_v2_face1.ply
2_1,photo_5_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_5_2026-04-09_20-38-32.jpg,mediapipe,ok,1,kate_batch_2_1_photo_5_2026_04_09_20_38_32_mediapipe_facemesh.ply
