method,left_image,right_image,left_mesh,right_mesh,median_distance,p90_distance,mean_distance,median_pct_bbox,p90_pct_bbox,scale_left_to_right
mediapipe,photo_2026-04-09_19-36-57.jpg,photo_2026-04-09_20-37-59.jpg,kate_batch_1_1_photo_2026_04_09_19_36_57_mediapipe_facemesh.ply,kate_batch_2_1_photo_2026_04_09_20_37_59_mediapipe_facemesh.ply,17.220926220003197,35.058937226050574,19.79266375082304,1.5955614986928057,3.248297432341236,1.3586688649702665
mediapipe,photo_2026-04-09_19-36-57.jpg,photo_2_2026-04-09_20-38-32.jpg,kate_batch_1_1_photo_2026_04_09_19_36_57_mediapipe_facemesh.ply,kate_batch_2_1_photo_2_2026_04_09_20_38_32_mediapipe_facemesh.ply,10.9295493819255,25.128075682869063,13.660824124514354,1.1593994047171208,2.6655697293965277,1.209354082933954
mediapipe,photo_2026-04-09_19-36-57.jpg,photo_3_2026-04-09_20-38-32.jpg,kate_batch_1_1_photo_2026_04_09_19_36_57_mediapipe_facemesh.ply,kate_batch_2_1_photo_3_2026_04_09_20_38_32_mediapipe_facemesh.ply,7.830706045319251,20.069615347790506,10.13883988233264,0.8084822318713193,2.072089964209484,1.264284733190994
mediapipe,photo_2026-04-09_19-36-57.jpg,photo_5_2026-04-09_20-38-32.jpg,kate_batch_1_1_photo_2026_04_09_19_36_57_mediapipe_facemesh.ply,kate_batch_2_1_photo_5_2026_04_09_20_38_32_mediapipe_facemesh.ply,13.613943045377995,33.35370491636157,17.587116470902714,1.1673074155103174,2.8598641079837703,1.5453921676387048
mediapipe,photo_2026-04-09_20-37-59.jpg,photo_2_2026-04-09_20-38-32.jpg,kate_batch_2_1_photo_2026_04_09_20_37_59_mediapipe_facemesh.ply,kate_batch_2_1_photo_2_2026_04_09_20_38_32_mediapipe_facemesh.ply,15.121688863531364,24.640385709775902,15.960119099445658,1.6040988017025715,2.613835898043354,0.8849942245261482
mediapipe,photo_2026-04-09_20-37-59.jpg,photo_3_2026-04-09_20-38-32.jpg,kate_batch_2_1_photo_2026_04_09_20_37_59_mediapipe_facemesh.ply,kate_batch_2_1_photo_3_2026_04_09_20_38_32_mediapipe_facemesh.ply,15.889787997425602,29.143269590878454,17.94162915998924,1.6405431630012115,3.0089005393000128,0.922998748676172
mediapipe,photo_2026-04-09_20-37-59.jpg,photo_5_2026-04-09_20-38-32.jpg,kate_batch_2_1_photo_2026_04_09_20_37_59_mediapipe_facemesh.ply,kate_batch_2_1_photo_5_2026_04_09_20_38_32_mediapipe_facemesh.ply,13.628328154109871,28.680044677825368,16.12090448856804,1.168540845387295,2.4591280217643385,1.1328868819668094
mediapipe,photo_2_2026-04-09_20-38-32.jpg,photo_3_2026-04-09_20-38-32.jpg,kate_batch_2_1_photo_2_2026_04_09_20_38_32_mediapipe_facemesh.ply,kate_batch_2_1_photo_3_2026_04_09_20_38_32_mediapipe_facemesh.ply,6.354670752981412,12.81266984608788,7.94212335790956,0.6560887822176388,1.3228457119249666,1.0426619435031967
mediapipe,photo_2_2026-04-09_20-38-32.jpg,photo_5_2026-04-09_20-38-32.jpg,kate_batch_2_1_photo_2_2026_04_09_20_38_32_mediapipe_facemesh.ply,kate_batch_2_1_photo_5_2026_04_09_20_38_32_mediapipe_facemesh.ply,11.828874655996653,30.81215146068852,15.274314490795042,1.0142493660405618,2.641942365118079,1.2755430109431503
mediapipe,photo_3_2026-04-09_20-38-32.jpg,photo_5_2026-04-09_20-38-32.jpg,kate_batch_2_1_photo_3_2026_04_09_20_38_32_mediapipe_facemesh.ply,kate_batch_2_1_photo_5_2026_04_09_20_38_32_mediapipe_facemesh.ply,12.535067799106134,29.040908233052264,16.438245911845115,1.0748008528498227,2.4900697336989115,1.2210999104728832
3ddfa_v2,photo_2026-04-09_19-36-57.jpg,photo_2026-04-09_19-37-48.jpg,kate_batch_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1.ply,kate_batch_1_1_photo_2026-04-09_19-37-48_3ddfa_v2_face1.ply,0.9377751531023282,1.4992233333097882,0.9233542462778785,0.7122497180003806,1.1386752920856806,0.14776294260411196
3ddfa_v2,photo_2026-04-09_19-36-57.jpg,photo_2026-04-09_19-37-56.jpg,kate_batch_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1.ply,kate_batch_1_1_photo_2026-04-09_19-37-56_3ddfa_v2_face1.ply,1.072677520543051,1.967999215095003,1.186687183241726,0.7929929232987118,1.4548728958519488,0.15011716247794604
3ddfa_v2,photo_2026-04-09_19-36-57.jpg,photo_2026-04-09_19-38-04.jpg,kate_batch_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1.ply,kate_batch_1_1_photo_2026-04-09_19-38-04_3ddfa_v2_face1.ply,1.1398625267576257,2.1284013520173723,1.231463937140785,0.8293091344605619,1.5485224240567905,0.15760952402625097
3ddfa_v2,photo_2026-04-09_19-36-57.jpg,photo_2026-04-09_20-37-59.jpg,kate_batch_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1.ply,kate_batch_2_1_photo_2026-04-09_20-37-59_3ddfa_v2_face1.ply,3.7481254187766506,5.95916601980511,3.986522328518488,0.2876705929634012,0.4573691194795209,1.41680597275898
3ddfa_v2,photo_2026-04-09_19-36-57.jpg,photo_2_2026-04-09_20-38-32.jpg,kate_batch_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1.ply,kate_batch_2_1_photo_2_2026-04-09_20-38-32_3ddfa_v2_face1.ply,7.269780876914292,12.386776306920455,8.05255502964117,0.6606624402076561,1.1256842537336529,1.2512484023605683
3ddfa_v2,photo_2026-04-09_19-36-57.jpg,photo_3_2026-04-09_20-38-32.jpg,kate_batch_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1.ply,kate_batch_2_1_photo_3_2026-04-09_20-38-32_3ddfa_v2_face1.ply,4.689352577548726,8.383033727401244,5.378651577638161,0.41951325891253105,0.7499529498790852,1.2974667312609174
3ddfa_v2,photo_2026-04-09_19-36-57.jpg,photo_4_2026-04-09_20-38-32.jpg,kate_batch_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1.ply,kate_batch_2_1_photo_4_2026-04-09_20-38-32_3ddfa_v2_face1.ply,2.1660640967063074,5.53440063027954,2.7684895649001158,0.6589273980270067,1.6835920102707755,0.3559954175380856
3ddfa_v2,photo_2026-04-09_19-36-57.jpg,photo_5_2026-04-09_20-38-32.jpg,kate_batch_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1.ply,kate_batch_2_1_photo_5_2026-04-09_20-38-32_3ddfa_v2_face1.ply,7.960303019269358,11.328819106937125,8.129678692968078,0.5868381287372967,0.8351670771106554,1.5470504893421668
