method,source_image_name,mesh_name,vertex_count,face_count,face_bbox_width_px,face_bbox_height_px,face_area_pct,detector_score,pair_count,median_pair_median_pct_bbox,median_pair_p90_pct_bbox,mri_score,mri_median_mm,mri_p90_mm,mri_mean_mm,mri_alignment_preview,source_image,mesh_path,metadata
mediapipe,photo_2026-04-09_19-36-57.jpg,kate_batch_1_1_photo_2026_04_09_19_36_57_mediapipe_facemesh.ply,478,916,408.0541687011719,552.7623138427734,18.355872921911555,,4,1.163353410113719,2.762716918690149,3.4792264127255126,1.9402863763989469,6.155760145306263,3.018948209620544,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_mediapipe\kate_batch_1_1_photo_2026_04_09_19_36_57_mediapipe_facemesh_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-36-57.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_mediapipe\kate_batch_1_1_photo_2026_04_09_19_36_57_mediapipe_facemesh.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_mediapipe\kate_batch_1_1_photo_2026_04_09_19_36_57_metadata.json
mediapipe,photo_2026-04-09_20-37-59.jpg,kate_batch_2_1_photo_2026_04_09_20_37_59_mediapipe_facemesh.ply,478,918,709.9309387207031,714.2761840820312,10.316706581038375,,4,1.5998301501976886,2.8113682186716833,3.4159316319592454,2.0395798041159514,5.505407311373177,2.7654976122067927,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_mediapipe\kate_batch_2_1_photo_2026_04_09_20_37_59_mediapipe_facemesh_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_2026-04-09_20-37-59.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_mediapipe\kate_batch_2_1_photo_2026_04_09_20_37_59_mediapipe_facemesh.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_mediapipe\kate_batch_2_1_photo_2026_04_09_20_37_59_metadata.json
mediapipe,photo_2_2026-04-09_20-38-32.jpg,kate_batch_2_1_photo_2_2026_04_09_20_38_32_mediapipe_facemesh.ply,478,918,535.6368865966797,651.5493774414062,7.1002986652978475,,4,1.0868243853788413,2.6278891315807167,3.4712422109200562,2.057152363810772,5.656359388437137,2.97117351538471,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_mediapipe\kate_batch_2_1_photo_2_2026_04_09_20_38_32_mediapipe_facemesh_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_2_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_mediapipe\kate_batch_2_1_photo_2_2026_04_09_20_38_32_mediapipe_facemesh.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_mediapipe\kate_batch_2_1_photo_2_2026_04_09_20_38_32_metadata.json
mediapipe,photo_3_2026-04-09_20-38-32.jpg,kate_batch_2_1_photo_3_2026_04_09_20_38_32_mediapipe_facemesh.ply,478,916,542.5586547851562,678.7125244140625,7.4918895310858415,,4,0.9416415423605711,2.2810798489541977,3.4590254089028285,2.0558490546319774,5.612705417083405,2.9341416887577583,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_mediapipe\kate_batch_2_1_photo_3_2026_04_09_20_38_32_mediapipe_facemesh_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_3_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_mediapipe\kate_batch_2_1_photo_3_2026_04_09_20_38_32_mediapipe_facemesh.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_mediapipe\kate_batch_2_1_photo_3_2026_04_09_20_38_32_metadata.json
mediapipe,photo_5_2026-04-09_20-38-32.jpg,kate_batch_2_1_photo_5_2026_04_09_20_38_32_mediapipe_facemesh.ply,478,918,662.0865783691406,789.6668701171875,10.636959555813746,,4,1.1210541341800702,2.5660060494084953,3.5231142674281513,2.081820875287451,5.765173568562802,3.026601339343414,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_mediapipe\kate_batch_2_1_photo_5_2026_04_09_20_38_32_mediapipe_facemesh_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_5_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_mediapipe\kate_batch_2_1_photo_5_2026_04_09_20_38_32_mediapipe_facemesh.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_mediapipe\kate_batch_2_1_photo_5_2026_04_09_20_38_32_metadata.json
3ddfa_v2,photo_2026-04-09_19-36-57.jpg,kate_batch_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1.ply,38365,76073,427.6431884765625,638.5460968017578,22.22248444218485,0.9999181032180786,8,0.6597949191173313,1.1321797729096668,3.9317031595046155,2.3866760126332656,6.1801085874854,3.1265378524341947,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_3ddfa_v2_sampled\kate_batch_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-36-57.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-36-57_3ddfa_v2_face1_metadata.json
3ddfa_v2,photo_2026-04-09_19-37-48.jpg,kate_batch_1_1_photo_2026-04-09_19-37-48_3ddfa_v2_face1.ply,38365,76073,71.82403564453125,87.02841186523438,0.5086858525305615,0.9761950373649597,8,0.5637673538842972,0.8995791094327341,3.8150340619596115,2.3359714341535494,5.916250511224248,3.087309929971907,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_3ddfa_v2_sampled\kate_batch_1_1_photo_2026-04-09_19-37-48_3ddfa_v2_face1_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-37-48.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-37-48_3ddfa_v2_face1.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-37-48_3ddfa_v2_face1_metadata.json
3ddfa_v2,photo_2026-04-09_19-37-56.jpg,kate_batch_1_1_photo_2026-04-09_19-37-56_3ddfa_v2_face1.ply,38365,76073,65.15226745605469,84.56767272949219,0.7006042012288383,0.9992457628250122,8,0.6684174117715034,1.2035133144578238,3.779732190931349,2.25475970801911,6.099889931648957,2.9998122751748926,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_3ddfa_v2_sampled\kate_batch_1_1_photo_2026-04-09_19-37-56_3ddfa_v2_face1_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-37-56.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-37-56_3ddfa_v2_face1.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-37-56_3ddfa_v2_face1_metadata.json
3ddfa_v2,photo_2026-04-09_19-38-04.jpg,kate_batch_1_1_photo_2026-04-09_19-38-04_3ddfa_v2_face1.ply,38365,76073,69.17941284179688,86.43576049804688,0.6479255330908745,0.9712694883346558,8,0.4910813661023259,1.0017033002315974,3.7180237647409733,2.2846890937392326,5.733338684006962,3.000030758094568,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_3ddfa_v2_sampled\kate_batch_1_1_photo_2026-04-09_19-38-04_3ddfa_v2_face1_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-38-04.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-38-04_3ddfa_v2_face1.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_1_1_photo_2026-04-09_19-38-04_3ddfa_v2_face1_metadata.json
3ddfa_v2,photo_2026-04-09_20-37-59.jpg,kate_batch_2_1_photo_2026-04-09_20-37-59_3ddfa_v2_face1.ply,38365,76073,703.8134765625,747.3181457519531,10.700939580483464,0.9583938717842102,8,0.6738738554948898,1.0409608097047323,3.9893977264285674,2.37977944210726,6.43847313728523,3.1628764011560224,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_batch_3ddfa_v2_sampled\kate_batch_2_1_photo_2026-04-09_20-37-59_3ddfa_v2_face1_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_2026-04-09_20-37-59.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_2_1_photo_2026-04-09_20-37-59_3ddfa_v2_face1.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_batch_3ddfa_v2\kate_batch_2_1_photo_2026-04-09_20-37-59_3ddfa_v2_face1_metadata.json
