method,source_image_name,mesh_name,vertex_count,face_count,face_bbox_width_px,face_bbox_height_px,face_area_pct,detector_score,pair_count,median_pair_median_pct_bbox,median_pair_p90_pct_bbox,mri_score,mri_median_mm,mri_p90_mm,mri_mean_mm,mri_alignment_preview,source_image,mesh_path,metadata
mediapipe,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh.ply,478,916,296.47637939453125,401.5013427734375,11.35212559008707,,8,1.3507048520640097,3.1940176990514284,3.362825116487139,1.9472836483534879,5.662165872534604,3.1980511338323505,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\1_1_photo_2026-04-09_19-36-57_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_metadata.json
mediapipe,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_48_facecrop_mediapipe_facemesh.ply,478,916,354.76800537109375,413.1419982910156,13.977962748406547,,8,1.1239759925012003,2.5543949639679786,3.420998654497798,2.0490170724176116,5.4879263283207464,2.898074243012157,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_37_48_facecrop_mediapipe_facemesh_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\1_1_photo_2026-04-09_19-37-48_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_37_48_facecrop_mediapipe_facemesh.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_37_48_facecrop_metadata.json
mediapipe,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,478,918,384.39202880859375,433.80523681640625,15.902640827908598,,8,1.3224298107834218,2.4494199773238,3.6964334095224185,2.121702182471938,6.298924908201923,3.05280217498787,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\1_1_photo_2026-04-09_19-37-56_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_metadata.json
mediapipe,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,478,918,382.6029052734375,463.1065979003906,16.897767048643786,,8,1.1777716818830632,2.4908007486477293,3.3854679643479697,2.007592208417511,5.511503023721834,3.123386859124609,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\1_1_photo_2026-04-09_19-38-04_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_metadata.json
mediapipe,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh.ply,478,918,432.95367431640625,443.95501708984375,18.330760562920645,,8,1.6307978939853514,3.1831770416470224,3.4377484294604925,2.0661518150029563,5.486386457830145,2.9117699902462695,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_crops_mediapipe\kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\2_1_photo_2026-04-09_20-37-59_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_metadata.json
mediapipe,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,478,918,348.4523620605469,426.33807373046875,14.16764343526129,,8,1.075198157197693,2.1726209377989365,3.511058475351833,2.087562211897985,5.693985053815392,3.0733812814392882,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_crops_mediapipe\kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_metadata.json
mediapipe,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crop_2_1_photo_3_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,478,917,322.71942138671875,406.3371887207031,12.505808108506322,,8,0.950051542741549,2.1458326930172906,3.438201567678316,2.062303594854866,5.5035918912938016,2.823030241266538,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_crops_mediapipe\kate_crop_2_1_photo_3_2026_04_09_20_38_32_facecrop_mediapipe_facemesh_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_2_1_photo_3_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_2_1_photo_3_2026_04_09_20_38_32_facecrop_metadata.json
mediapipe,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,kate_crop_2_1_photo_4_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,478,925,378.1063537597656,441.60760498046875,15.923942691016002,,8,1.850111211493791,3.433694045960463,3.5105995900194955,2.009321263812618,6.005113304827511,3.1867696772158878,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_crops_mediapipe\kate_crop_2_1_photo_4_2026_04_09_20_38_32_facecrop_mediapipe_facemesh_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_2_1_photo_4_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_2_1_photo_4_2026_04_09_20_38_32_facecrop_metadata.json
mediapipe,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crop_2_1_photo_5_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,478,917,383.7147216796875,425.0423583984375,15.553952241414493,,8,1.4352995639911712,3.372691481651193,3.604158986451874,2.082361114568117,6.087191487535027,3.0440037881567457,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_crops_mediapipe\kate_crop_2_1_photo_5_2026_04_09_20_38_32_facecrop_mediapipe_facemesh_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_2_1_photo_5_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_mediapipe\kate_crop_2_1_photo_5_2026_04_09_20_38_32_facecrop_metadata.json
3ddfa_v2,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,38365,76073,299.49298095703125,473.32562255859375,13.519067922917927,0.9999003410339355,8,0.7035776168358892,1.2797547124072306,3.9415254460277596,2.4013816262796723,6.160575278992349,3.1469575919180177,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_crops_3ddfa_v2_sampled\kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\1_1_photo_2026-04-09_19-36-57_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_3ddfa_v2\kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_3ddfa_v2\kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1_metadata.json
3ddfa_v2,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-48_facecrop_3ddfa_v2_face1.ply,38365,76073,356.5696105957031,480.1790466308594,16.328549926126623,0.999924898147583,8,0.6462783299797685,1.0981890350968004,3.804081642941073,2.3357920878472207,5.87315822037541,3.077511528112618,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\comparisons\mri_anterior_y_crops_3ddfa_v2_sampled\kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-48_facecrop_3ddfa_v2_face1_to_mri_alignment.png,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\1_1_photo_2026-04-09_19-37-48_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_3ddfa_v2\kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-48_facecrop_3ddfa_v2_face1.ply,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_avatar_crops_3ddfa_v2\kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-48_facecrop_3ddfa_v2_face1_metadata.json
