method,left_subject_id,right_subject_id,pair_label,left_source_name,right_source_name,left_mesh_name,right_mesh_name,mesh_median_pct_bbox,mesh_p90_pct_bbox,mesh_mean_pct_bbox,scale_left_to_right,landmark_descriptor_distance
3ddfa_v2,1_1,1_1,genuine,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-48_facecrop_3ddfa_v2_face1.ply,0.6326364254148475,1.129128757981874,0.6615553587888121,1.0663752148581818,0.06176317568862076
3ddfa_v2,1_1,1_1,genuine,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-56_facecrop_3ddfa_v2_face1.ply,1.1321619606466617,1.8844870089602503,1.1915386560865557,1.1247769014302458,0.14407482473278294
3ddfa_v2,1_1,1_1,genuine,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-38-04_facecrop_3ddfa_v2_face1.ply,0.9669030580527546,1.754978446883225,1.053054634241386,1.1771744593927227,0.13420190884021133
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_2026-04-09_20-37-59_facecrop_3ddfa_v2_face1.ply,0.48435765106804013,0.8515001334139738,0.5227466939875723,1.1933761128094875,0.0649353364484696
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_2_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.824384214238706,1.4295600882430033,0.903291385852459,1.1064201294688365,0.10727462764047697
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_3_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.5526016018566762,0.9205537243726138,0.5892022229886028,1.0492346577139549,0.06169269234771371
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_4_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.7523783258233269,1.7111585025589346,0.8948461338215272,1.167711519117787,0.14802168803523308
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_5_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.6547769078484514,1.129949336571458,0.7122985008090162,1.2215519040844034,0.08386063264595955
3ddfa_v2,1_1,1_1,genuine,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-48_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-56_facecrop_3ddfa_v2_face1.ply,0.6599202345446895,1.1102087898632078,0.7043244488580187,1.0552716454938904,0.10238449621905217
3ddfa_v2,1_1,1_1,genuine,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-48_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-38-04_facecrop_3ddfa_v2_face1.ply,0.4574282962830005,1.058768302845862,0.5732943470979576,1.1042530334427678,0.09496865919126354
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-48_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_2026-04-09_20-37-59_facecrop_3ddfa_v2_face1.ply,0.8424475757087848,1.3481820289504756,0.8632352236164976,1.118111360390262,0.09976294607778921
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-48_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_2_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.5615968682772113,0.892713310701608,0.5779278406718373,1.0375999359808166,0.06911386455777618
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-48_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_3_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.4279488136399537,0.7525356460934669,0.461052519010853,0.98364130364691,0.0355120405878199
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-48_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_4_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.7345622966504359,1.379423830026742,0.814735090314241,1.0948970549026553,0.1237585463495276
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-48_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_5_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.678545072364691,1.086169280330393,0.7232235649137226,1.145029669481357,0.09295990244988363
3ddfa_v2,1_1,1_1,genuine,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-56_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-38-04_facecrop_3ddfa_v2_face1.ply,0.30146408669757624,0.4626103328352169,0.296754908602491,1.0462090364015277,0.030627163250352793
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-56_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_2026-04-09_20-37-59_facecrop_3ddfa_v2_face1.ply,1.334693142231725,2.147872900659644,1.395242770032378,1.05773113814772,0.1886944339817549
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-56_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_2_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.39173052085588966,0.726155798859624,0.4247929428097629,0.9828839971846631,0.04519191361195926
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-56_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_3_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.7591089516576461,1.319199378157735,0.8077659178014139,0.9312959589675469,0.10577925128901569
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-56_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_4_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.6208343118255064,1.2852265167772268,0.7420355463473494,1.037180894236977,0.072963987968823
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-56_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_5_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.9174554283518069,1.687344771221794,1.0251493870003854,1.0839300655268476,0.1783502277280081
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-38-04_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_2026-04-09_20-37-59_facecrop_3ddfa_v2_face1.ply,1.1614797959873524,2.019386751423661,1.2487439383413141,1.0112509414347075,0.17643016082938012
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-38-04_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_2_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.31952128942032215,0.6608311642206897,0.38007342942921485,0.9394289275757631,0.05238060148886047
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-38-04_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_3_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.5429108512939378,1.1083123531651609,0.6260447726370417,0.8902531359224134,0.1002444347392654
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-38-04_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_4_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.44946614500148274,0.9596171482370535,0.532849825736228,0.9915616758165682,0.05346526708125843
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-38-04_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_5_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.8385031247863998,1.7127069589201729,0.9828992258690303,1.0360035018488152,0.16800085935514755
3ddfa_v2,2_1,2_1,genuine,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_2_1_photo_2026-04-09_20-37-59_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_2_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,1.1604068009055142,1.8448822242204215,1.1960658487547218,0.9264015926416674,0.15631934609481896
3ddfa_v2,2_1,2_1,genuine,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_2_1_photo_2026-04-09_20-37-59_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_3_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.9204931794342934,1.5470736209772202,1.002662875733877,0.8784877357381551,0.11003662506643275
