method,left_subject_id,right_subject_id,pair_label,left_source_name,right_source_name,left_mesh_name,right_mesh_name,mesh_median_pct_bbox,mesh_p90_pct_bbox,mesh_mean_pct_bbox,scale_left_to_right,landmark_descriptor_distance
3ddfa_v2,1_1,1_1,genuine,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-38-04_facecrop_3ddfa_v2_face1.ply,0.9669030580527546,1.754978446883225,1.053054634241386,1.1771744593927227,0.13420190884021133
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_2_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.824384214238706,1.4295600882430033,0.903291385852459,1.1064201294688365,0.10727462764047697
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_3_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.5526016018566762,0.9205537243726138,0.5892022229886028,1.0492346577139549,0.06169269234771371
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-38-04_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_2_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.31952128942032215,0.6608311642206897,0.38007342942921485,0.9394289275757631,0.05238060148886047
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-38-04_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_3_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.5429108512939378,1.1083123531651609,0.6260447726370417,0.8902531359224134,0.1002444347392654
3ddfa_v2,2_1,2_1,genuine,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crops_3ddfa_1024_2_1_photo_2_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,kate_crops_3ddfa_1024_2_1_photo_3_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,0.46466464232649246,0.770421817596566,0.49585902252025493,0.9476978453090829,0.06836329014283454
mediapipe,1_1,1_1,genuine,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh.ply,kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,1.3295874564812915,3.092712265114804,1.634426223865951,1.1557209743467485,0.19598322172229193
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,1.1244404071105514,2.4004420601135457,1.3837505183868923,1.0837971342710504,0.13200558169339222
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_3_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,0.786062351277647,2.0553401131182896,1.0346005076911282,1.0291188677941083,0.10150206494039082
mediapipe,1_1,2_1,impostor,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply,kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply,1.0259559072848348,1.790693941961393,1.1533477744743719,0.9347622761419755,0.09410631265321115
