method,left_subject_id,right_subject_id,pair_label,left_source_name,right_source_name,left_mesh_name,right_mesh_name,vertices_used,mesh_median_pct_bbox,mesh_p90_pct_bbox,mesh_mean_pct_bbox,scale_left_to_right,landmark_descriptor_distance
3ddfa_v2,1_1,1_1,genuine,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,faceage3_crops_3subjects_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,faceage3_crops_3subjects_1024_1_1_photo_2026-04-09_19-37-48_facecrop_3ddfa_v2_face1.ply,5000,0.6368859876533637,1.1357350754800655,0.6669401773396023,1.0664344046255179,0.06176314807017571
3ddfa_v2,1_1,1_1,genuine,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,faceage3_crops_3subjects_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,faceage3_crops_3subjects_1024_1_1_photo_2026-04-09_19-37-56_facecrop_3ddfa_v2_face1.ply,5000,1.1325517790161184,1.8867806296796195,1.1935423681128587,1.1248398259169587,0.14407481180574588
3ddfa_v2,1_1,1_1,genuine,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,faceage3_crops_3subjects_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,faceage3_crops_3subjects_1024_1_1_photo_2026-04-09_19-38-04_facecrop_3ddfa_v2_face1.ply,5000,0.9754160615141413,1.7653368114258885,1.0599252370007866,1.177251225113742,0.13420198496917324
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,faceage3_crops_3subjects_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,faceage3_crops_3subjects_1024_2_1_photo_2026-04-09_20-37-59_facecrop_3ddfa_v2_face1.ply,5000,0.48561997116601724,0.8541055376329368,0.5237104162107358,1.1934046132823597,0.06493537210178103
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,faceage3_crops_3subjects_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,faceage3_crops_3subjects_1024_2_1_photo_2_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,5000,0.8262137507507229,1.434701104352509,0.9053363834879632,1.1064495913029018,0.10727469174578891
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,faceage3_crops_3subjects_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,faceage3_crops_3subjects_1024_2_1_photo_3_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,5000,0.5533206645275088,0.9235162938473862,0.5900455199737676,1.0492826763169374,0.06169264133201933
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,faceage3_crops_3subjects_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,faceage3_crops_3subjects_1024_2_1_photo_4_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,5000,0.752469387138238,1.7203999154977796,0.8941920276512355,1.167779241998615,0.14802168581657155
3ddfa_v2,1_1,2_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,faceage3_crops_3subjects_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,faceage3_crops_3subjects_1024_2_1_photo_5_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply,5000,0.657074637461724,1.1356442738219545,0.7149067791797977,1.2215792633402784,0.08386073272902698
3ddfa_v2,1_1,3_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,3_1_IMG_20190814_110411_facecrop.jpg,faceage3_crops_3subjects_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,faceage3_crops_3subjects_1024_3_1_IMG_20190814_110411_facecrop_3ddfa_v2_face1.ply,5000,1.143032821150124,1.8654760071190588,1.1930491876407086,1.2149041066021862,0.10925473442249425
3ddfa_v2,1_1,3_1,impostor,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,3_1_IMG_20190814_110418_1_facecrop.jpg,faceage3_crops_3subjects_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply,faceage3_crops_3subjects_1024_3_1_IMG_20190814_110418_1_facecrop_3ddfa_v2_face1.ply,5000,1.2129984841752715,2.0634978009579465,1.2661671362813351,1.1459408918940075,0.1369668507353019
